"gene","logFC_106839","logFC_299945","adjP_106839","adjP_299945","avg_logFC","direction_consistent","fisher_combined_p","stouffer_combined_p","effect_ratio","effect_consistent","integrated_score","fisher_FDR","stouffer_FDR"
"E2F7",-2.52905672288543,-0.893724644061109,0.000151454096929716,0.00145582328336631,-1.71139068347327,TRUE,3.6000375426733e-06,1.58387371484991e-06,0.353382601494777,TRUE,0.75,4.30987545362978e-05,2.03407781925271e-05
"DTL",-1.97006755569042,-1.04668170891897,0.000151454096929716,7.11570421797461e-05,-1.50837463230469,TRUE,2.08490711713678e-07,7.83327510633924e-08,0.531292292944828,TRUE,0.75,1.15504554227944e-05,5.35268336250283e-06
"RASSF10",-1.91667579730219,-4.29622170775618,0.000200427228990759,2.93536982550312e-05,-3.10644875252919,TRUE,1.17378217668534e-07,4.54746946765283e-08,0.446130560218045,TRUE,0.75,1.0460770248046e-05,4.89521725828834e-06
"HMX3",-3.40068591837475,-1.12611245517708,0.000200427228990759,0.00133497542857461,-2.26339918677592,TRUE,4.31687428483044e-06,1.85919356099351e-06,0.331142740672526,TRUE,0.75,4.83353057308096e-05,2.2641558366352e-05
"NKX3-2",-2.58827252056163,-2.81773007401406,0.000200427228990759,0.000268220144553688,-2.70300129728784,TRUE,9.53611361016048e-07,3.69679369338627e-07,0.918566524320921,TRUE,0.75,2.03597226598792e-05,8.90023044646798e-06
"GINS2",-2.47844599868966,-1.67788700619116,0.000200427228990759,1.08463911574559e-05,-2.07816650244041,TRUE,4.55363665499263e-08,1.83852277846341e-08,0.676991553206424,TRUE,0.75,9.95349288036787e-06,4.89521725828834e-06
"PRELID3A",-1.97562615425812,-1.3550921315999,0.000200427228990759,7.92157910567945e-05,-1.66535914292901,TRUE,3.01002453379452e-07,1.14634020831339e-07,0.685905138823573,TRUE,0.75,1.21490323564011e-05,5.74113067800963e-06
"NCS1",-2.28048500875651,-1.05759422566892,0.000200427228990759,0.00249049184300305,-1.66903961721271,TRUE,7.74217540965586e-06,3.58532089650421e-06,0.463758464365261,TRUE,0.75,7.10971600999383e-05,3.53773922220834e-05
"LAMA1",-2.07465415332014,-3.59308511478172,0.000200427228990759,3.70274884369557e-05,-2.83386963405093,TRUE,1.46340275027522e-07,5.63398006026006e-08,0.577401894763124,TRUE,0.75,1.06929325097696e-05,4.92264795735861e-06
"MTHFD2",-2.56446640817637,-0.859935446806194,0.00020629876716056,0.000219670586469874,-1.71220092749128,TRUE,8.11621640112084e-07,3.12897703302895e-07,0.335327241590857,TRUE,0.75,1.89512535030028e-05,8.08170995570723e-06
"CDT1",-1.29310590139743,-1.32281564434946,0.00020629876716056,1.9225443715084e-05,-1.30796077287344,TRUE,8.06938693870468e-08,3.18132463705822e-08,0.977540526467964,TRUE,0.75,9.95349288036787e-06,4.89521725828834e-06
"WDR76",-1.81203134693706,-1.06950050728779,0.000209190189881565,0.000166471562853089,-1.44076592711242,TRUE,6.32858866364888e-07,2.42598566901897e-07,0.590221857417423,TRUE,0.75,1.65437415848418e-05,7.2149665019666e-06
"CCNE2",-1.49785679859017,-2.20094715761342,0.000232919196236695,3.80855390804075e-06,-1.84940197810179,TRUE,1.93766754637601e-08,8.53132597899986e-09,0.680551004329592,TRUE,0.75,9.95349288036787e-06,4.89521725828834e-06
"SETD6",-1.22339314177965,-1.50201215064427,0.000232919196236695,2.44534151459255e-05,-1.36270264621196,TRUE,1.13819757129273e-07,4.49468603447301e-08,0.814502826262024,TRUE,0.75,1.0460770248046e-05,4.89521725828834e-06
"MYBL2",-1.27262767391928,-1.30018096063411,0.000267941509023174,2.52553323530914e-05,-1.2864043172767,TRUE,1.34061538856398e-07,5.35664914647072e-08,0.978808113986386,TRUE,0.75,1.0460770248046e-05,4.92264795735861e-06
"SHISA2",-1.30294727583344,-1.78683415867786,0.000280072277770166,2.01248468268533e-05,-1.54489071725565,TRUE,1.12694517918303e-07,4.56904933887614e-08,0.729193176381594,TRUE,0.75,1.0460770248046e-05,4.89521725828834e-06
"MCM10",-1.34783002091328,-1.2082541099056,0.000288976153936284,2.75114704395096e-05,-1.27804206540944,TRUE,1.56221210381387e-07,6.26500735734226e-08,0.8964439811831,TRUE,0.75,1.10680309339001e-05,4.92264795735861e-06
"RRM2",-1.45653091138718,-1.255699753107,0.000299284854509734,3.81381412979152e-05,-1.35611533224709,TRUE,2.20161158558789e-07,8.74763583791349e-08,0.862116789482409,TRUE,0.75,1.15504554227944e-05,5.48312264110675e-06
"CBLN1",-1.2667014213377,-3.16805284009121,0.000316002176046465,0.000298242426120617,-2.21737713071445,TRUE,1.61888518868161e-06,6.35685150962573e-07,0.39983595137928,TRUE,0.75,2.61863947695903e-05,1.18381500326976e-05
"DCLRE1B",-1.40512434083352,-2.06583646820214,0.000316002176046465,1.7656184081457e-05,-1.73548040451783,TRUE,1.11611206706311e-07,4.61514878535851e-08,0.68017210580873,TRUE,0.75,1.0460770248046e-05,4.89521725828834e-06
"FGFR3",1.23432918594485,3.43458021458246,0.000334105682153413,8.32756833356885e-06,2.33445470026366,TRUE,5.75933379766264e-08,2.51435785525445e-08,0.359382838317232,TRUE,1,9.95349288036787e-06,4.89521725828834e-06
"AGTPBP1",-1.82628984569632,-2.41860014413331,0.000334702223532322,0.000706459325013684,-2.12244499491482,TRUE,3.84414625496015e-06,1.56173482324107e-06,0.755102016398317,TRUE,0.75,4.50041210732627e-05,2.01787566490721e-05
"IGFBP2",-1.32703026479982,-1.90040870421307,0.000334702223532322,8.85883656987974e-05,-1.61371948450645,TRUE,5.43609812004335e-07,2.13227906220581e-07,0.698286774764759,TRUE,0.75,1.50085888161197e-05,6.77035335707162e-06
"SNX10",-1.72998165115492,-1.32980350477834,0.000345560931972089,4.54892946089748e-05,-1.52989257796663,TRUE,2.9817001596545e-07,1.19252626662458e-07,0.768680698948787,TRUE,0.75,1.21490323564011e-05,5.74113067800963e-06
"RRBP1",1.00536917285649,1.86233658489162,0.000365853168668539,1.16032044273309e-05,1.43385287887406,TRUE,8.60794216535876e-08,3.71673093413349e-08,0.53984289468007,TRUE,1,9.95349288036787e-06,4.89521725828834e-06
