#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	F13B	9031.ENSGALP00000048156	9031.ENSGALP00000003726	0	0	0	0	0.411	0	0	0	0.411
A1CF	HNF4A	9031.ENSGALP00000048156	9031.ENSGALP00000006799	0	0	0	0	0.423	0	0	0.238	0.541
A1CF	PLA2G12B	9031.ENSGALP00000048156	9031.ENSGALP00000006895	0	0	0	0	0.437	0	0	0	0.437
A1CF	KMO	9031.ENSGALP00000048156	9031.ENSGALP00000012115	0	0	0	0	0.411	0	0	0	0.411
A1CF	AHSG	9031.ENSGALP00000048156	9031.ENSGALP00000013991	0	0	0	0	0.414	0	0	0	0.414
A1CF	FGA	9031.ENSGALP00000048156	9031.ENSGALP00000015061	0	0	0	0	0.418	0	0	0	0.418
A1CF	SLC2A2	9031.ENSGALP00000048156	9031.ENSGALP00000015129	0	0	0	0	0.424	0	0	0.061	0.436
A1CF	HAAO	9031.ENSGALP00000048156	9031.ENSGALP00000016119	0	0	0	0	0.425	0	0	0	0.425
A1CF	TM4SF4	9031.ENSGALP00000048156	9031.ENSGALP00000016960	0	0	0	0	0.453	0	0	0	0.453
A1CF	NR1H4	9031.ENSGALP00000048156	9031.ENSGALP00000018906	0	0	0	0	0.453	0	0	0	0.453
A1CF	ALDH8A1	9031.ENSGALP00000048156	9031.ENSGALP00000022601	0	0	0	0	0.422	0	0	0	0.422
A1CF	HGD	9031.ENSGALP00000048156	9031.ENSGALP00000024093	0	0	0	0	0.416	0	0	0	0.416
A1CF	APOB	9031.ENSGALP00000048156	9031.ENSGALP00000026550	0	0	0	0	0.448	0	0	0.625	0.784
A1CF	PLA2R1	9031.ENSGALP00000048156	9031.ENSGALP00000032471	0	0	0	0	0	0	0	0.654	0.654
A1CF	ALDOB	9031.ENSGALP00000048156	9031.ENSGALP00000036836	0	0	0	0	0.380	0	0	0.118	0.430
A1CF	FGB	9031.ENSGALP00000048156	9031.ENSGALP00000038105	0	0	0	0	0.404	0	0	0	0.404
A1CF	SPP2	9031.ENSGALP00000048156	9031.ENSGALP00000044476	0	0	0	0	0.424	0	0	0	0.424
A1CF	ANGPTL3	9031.ENSGALP00000048156	9031.ENSGALP00000064198	0	0	0	0	0.404	0	0	0	0.404
A1CF	FRMD4B	9031.ENSGALP00000048156	9031.ENSGALP00000057119	0	0	0	0	0	0	0	0.473	0.473
A1CF	HNF1A	9031.ENSGALP00000048156	9031.ENSGALP00000060662	0	0	0	0	0.496	0	0	0	0.496
ABCA1	CPT1A	9031.ENSGALP00000024845	9031.ENSGALP00000011452	0	0	0	0	0.088	0	0	0.517	0.541
ABCA1	PPARA	9031.ENSGALP00000024845	9031.ENSGALP00000053048	0	0	0	0	0	0.065	0	0.385	0.400
ABCA1	ELOVL2	9031.ENSGALP00000024845	9031.ENSGALP00000071756	0	0	0	0	0.046	0	0	0.403	0.407
ABCA1	INSIG1	9031.ENSGALP00000024845	9031.ENSGALP00000028029	0	0	0	0	0	0	0	0.477	0.477
ABCA1	MTTP	9031.ENSGALP00000024845	9031.ENSGALP00000056995	0	0	0	0	0.044	0	0	0.601	0.602
ABCA1	APOB	9031.ENSGALP00000024845	9031.ENSGALP00000026550	0	0	0	0	0	0	0	0.740	0.740
ABHD6	MTTPL	9031.ENSGALP00000009124	9031.ENSGALP00000059574	0	0	0	0	0	0	0	0.500	0.499
ABHD6	MGLL	9031.ENSGALP00000009124	9031.ENSGALP00000073246	0.054	0	0	0	0	0	0.131	0.683	0.716
ACOX1	PIGR	9031.ENSGALP00000003376	9031.ENSGALP00000001351	0	0	0	0	0	0	0	0.499	0.499
ACOX1	FBP1	9031.ENSGALP00000003376	9031.ENSGALP00000020563	0	0	0	0	0.169	0.042	0	0.307	0.400
ACOX1	MGLL	9031.ENSGALP00000003376	9031.ENSGALP00000073246	0.074	0	0	0	0.051	0	0.156	0.301	0.412
ACOX1	PDK4	9031.ENSGALP00000003376	9031.ENSGALP00000015774	0	0	0	0	0.063	0.052	0	0.431	0.451
ACOX1	ELOVL2	9031.ENSGALP00000003376	9031.ENSGALP00000071756	0	0	0	0	0.047	0	0.158	0.445	0.517
ACOX1	CAT	9031.ENSGALP00000003376	9031.ENSGALP00000063417	0.056	0	0	0	0.169	0.235	0	0.306	0.528
ACOX1	FABP2	9031.ENSGALP00000003376	9031.ENSGALP00000019528	0	0	0	0	0	0.043	0	0.551	0.552
ACOX1	BDH2	9031.ENSGALP00000003376	9031.ENSGALP00000020134	0.046	0	0	0	0.113	0.076	0.182	0.454	0.588
ACOX1	APOB	9031.ENSGALP00000003376	9031.ENSGALP00000026550	0	0	0	0	0.076	0	0	0.588	0.603
ACOX1	PCK1	9031.ENSGALP00000003376	9031.ENSGALP00000012342	0	0	0	0	0.065	0	0	0.593	0.604
ACOX1	MTTP	9031.ENSGALP00000003376	9031.ENSGALP00000056995	0	0	0	0	0.062	0	0	0.630	0.638
ACOX1	ACSL4	9031.ENSGALP00000003376	9031.ENSGALP00000013111	0.054	0	0	0	0.145	0.053	0.362	0.540	0.734
ACOX1	PPARA	9031.ENSGALP00000003376	9031.ENSGALP00000053048	0	0	0	0	0.054	0.049	0	0.801	0.806
ACOX1	ACSL5	9031.ENSGALP00000003376	9031.ENSGALP00000069185	0.054	0	0	0	0.225	0.068	0.310	0.662	0.811
ACOX1	CPT1A	9031.ENSGALP00000003376	9031.ENSGALP00000011452	0	0	0	0	0.060	0	0	0.876	0.878
ACSL4	ACOX1	9031.ENSGALP00000013111	9031.ENSGALP00000003376	0.054	0	0	0	0.145	0.053	0.362	0.540	0.734
ACSL4	CPT1A	9031.ENSGALP00000013111	9031.ENSGALP00000011452	0	0	0	0	0.058	0	0.900	0.684	0.967
ACSL4	PRPS2	9031.ENSGALP00000013111	9031.ENSGALP00000026729	0	0	0	0	0	0	0	0.416	0.416
ACSL4	ACSL5	9031.ENSGALP00000013111	9031.ENSGALP00000069185	0	0	0.134	0.803	0.046	0.048	0.600	0.266	0.727
ACSL5	ACOX1	9031.ENSGALP00000069185	9031.ENSGALP00000003376	0.054	0	0	0	0.225	0.068	0.310	0.662	0.811
ACSL5	CPT1A	9031.ENSGALP00000069185	9031.ENSGALP00000011452	0	0	0	0	0.084	0	0.900	0.717	0.971
ACSL5	ACSL4	9031.ENSGALP00000069185	9031.ENSGALP00000013111	0	0	0.134	0.803	0.046	0.048	0.600	0.266	0.727
ACSL5	NR1H4	9031.ENSGALP00000069185	9031.ENSGALP00000018906	0	0	0	0	0.295	0.096	0	0.171	0.426
ACSL5	ALDH8A1	9031.ENSGALP00000069185	9031.ENSGALP00000022601	0	0	0	0	0.291	0	0.184	0.076	0.418
ACSL5	APOB	9031.ENSGALP00000069185	9031.ENSGALP00000026550	0	0	0	0	0.261	0.078	0	0.346	0.515
ACSL5	INSIG1	9031.ENSGALP00000069185	9031.ENSGALP00000028029	0	0	0	0	0.042	0	0	0.443	0.443
ACSL5	ALDOB	9031.ENSGALP00000069185	9031.ENSGALP00000036836	0	0	0	0	0.203	0	0	0.296	0.415
ACSL5	ELOVL2	9031.ENSGALP00000069185	9031.ENSGALP00000071756	0	0	0	0	0.053	0	0	0.498	0.504
ADAMTS20	SEMA5B	9031.ENSGALP00000049194	9031.ENSGALP00000054807	0	0	0	0.549	0	0	0.500	0	0.499
ADCY1	PDLIM3	9031.ENSGALP00000054345	9031.ENSGALP00000021842	0	0	0	0	0	0	0	0.538	0.538
ADCY1	SCN8A	9031.ENSGALP00000054345	9031.ENSGALP00000050098	0	0	0	0	0	0	0	0.511	0.511
ADCY1	PDE1A	9031.ENSGALP00000054345	9031.ENSGALP00000071844	0	0	0	0	0	0	0.650	0.113	0.676
ADD3	BAIAP2L2	9031.ENSGALP00000070145	9031.ENSGALP00000020051	0	0	0	0	0	0	0.400	0	0.400
ADD3	FBP1	9031.ENSGALP00000070145	9031.ENSGALP00000020563	0	0	0	0	0.109	0	0.349	0.185	0.485
ADD3	AKAP12	9031.ENSGALP00000070145	9031.ENSGALP00000043594	0	0	0	0	0	0	0.400	0	0.400
ADD3	RHOF	9031.ENSGALP00000070145	9031.ENSGALP00000049823	0	0	0	0	0	0	0.500	0	0.499
ADD3	ANK3	9031.ENSGALP00000070145	9031.ENSGALP00000052756	0	0	0	0	0	0.063	0	0.751	0.757
ADGRG2	SLC30A10	9031.ENSGALP00000050330	9031.ENSGALP00000041013	0	0	0	0	0	0.045	0	0.538	0.539
AGT	SGK2	9031.ENSGALP00000018089	9031.ENSGALP00000005583	0	0	0	0	0.346	0	0	0.121	0.400
AGT	ITIH2	9031.ENSGALP00000018089	9031.ENSGALP00000011044	0	0	0	0	0.366	0	0	0.180	0.457
AGT	F2	9031.ENSGALP00000018089	9031.ENSGALP00000013544	0	0	0	0	0.214	0.069	0.400	0.386	0.694
AGT	AHSG	9031.ENSGALP00000018089	9031.ENSGALP00000013991	0	0	0	0	0.417	0	0	0.257	0.548
AGT	MME	9031.ENSGALP00000018089	9031.ENSGALP00000016796	0	0	0	0	0	0.081	0.750	0.421	0.855
AGT	SERPINA10	9031.ENSGALP00000018089	9031.ENSGALP00000017847	0	0	0.215	0.641	0.311	0	0	0.116	0.481
AGT	NPY	9031.ENSGALP00000018089	9031.ENSGALP00000017870	0	0	0	0	0	0	0.500	0.189	0.577
AGT	BDKRB2	9031.ENSGALP00000018089	9031.ENSGALP00000018030	0	0	0	0	0	0.053	0.500	0	0.506
AGT	NMU	9031.ENSGALP00000018089	9031.ENSGALP00000031462	0	0	0	0	0	0	0.400	0	0.400
AGT	FGB	9031.ENSGALP00000018089	9031.ENSGALP00000038105	0	0	0	0	0.236	0	0	0.258	0.408
AGT	SERPIND1	9031.ENSGALP00000018089	9031.ENSGALP00000053865	0	0	0.235	0.605	0.119	0	0	0.195	0.410
AGT	HABP2	9031.ENSGALP00000018089	9031.ENSGALP00000032462	0	0	0	0	0.384	0.080	0	0.052	0.415
AGT	NMB	9031.ENSGALP00000018089	9031.ENSGALP00000049913	0	0	0	0	0.042	0	0.400	0.075	0.421
AGT	HGD	9031.ENSGALP00000018089	9031.ENSGALP00000024093	0.046	0	0	0	0.240	0	0	0.320	0.464
AGT	GC	9031.ENSGALP00000018089	9031.ENSGALP00000018939	0	0	0	0	0.347	0	0	0.240	0.482
AGT	F2RL1	9031.ENSGALP00000018089	9031.ENSGALP00000024125	0	0	0	0	0	0.052	0.500	0.056	0.513
AGT	PENK	9031.ENSGALP00000018089	9031.ENSGALP00000024825	0	0	0	0	0.048	0	0.500	0.086	0.526
AGT	C5	9031.ENSGALP00000018089	9031.ENSGALP00000050353	0	0	0	0	0.112	0	0.500	0.083	0.557
AGT	HGFAC	9031.ENSGALP00000018089	9031.ENSGALP00000025139	0	0	0	0	0.300	0.080	0	0.377	0.564
AGT	KNG1	9031.ENSGALP00000018089	9031.ENSGALP00000060409	0	0	0	0	0.065	0	0.400	0.384	0.624
AGT	BDKRB1	9031.ENSGALP00000018089	9031.ENSGALP00000031881	0	0	0	0	0	0.053	0.500	0.339	0.659
AGT	ENPEP	9031.ENSGALP00000018089	9031.ENSGALP00000049914	0	0	0	0	0	0.058	0.750	0.341	0.831
AGTPBP1	EIF2AK3	9031.ENSGALP00000020540	9031.ENSGALP00000025668	0	0	0	0	0	0	0	0.440	0.440
AHSG	TAT	9031.ENSGALP00000013991	9031.ENSGALP00000001312	0	0	0	0	0.419	0.071	0	0.245	0.557
AHSG	F13B	9031.ENSGALP00000013991	9031.ENSGALP00000003726	0	0	0	0	0.401	0	0	0.148	0.468
AHSG	ITIH2	9031.ENSGALP00000013991	9031.ENSGALP00000011044	0	0	0	0	0.410	0	0	0.346	0.597
AHSG	F2	9031.ENSGALP00000013991	9031.ENSGALP00000013544	0	0	0	0	0.960	0.102	0	0.548	0.982
