"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLK3",2.3164,4.6507,28.2981622664463,"2.174e-12","1.092e-08",18.85
"CDT1",1.3387,7.4134,27.798158938264,"2.686e-12","1.092e-08",18.75
"DONSON",1.6543,4.5109,26.5176739313672,"4.701e-12","1.092e-08",18.15
"RGS7BP",2.926,3.4592,26.2966893844001,"5.191e-12","1.092e-08",17.88
"CCNE2",2.1572,6.3038,24.8820354523606,"9.994e-12","1.572e-08",17.43
"RFTN1",1.8902,4.7764,24.3539499449356,"1.288e-11","1.572e-08",17.2
"MYBL2",1.3229,6.5574,24.1453335468013,"1.426e-11","1.572e-08",17.11
"CCNO",1.8839,4.7886,24.0258281380027,"1.512e-11","1.572e-08",17.04
"RNF208",2.2339,4.8382,23.8107703053657,"1.682e-11","1.572e-08",16.94
"MCM10",1.2536,5.8041,23.4990947541717,"1.965e-11","1.653e-08",16.8
"HSPH1",1.4671,7.1811,23.0543315296373,"2.462e-11","1.829e-08",16.57
"MAD2L1BP",2.022,6.333,22.9414830396196,"2.609e-11","1.829e-08",16.53
"DUSP4",1.9609,5.097,22.7551397272774,"2.872e-11","1.859e-08",16.43
"RRM2",1.3411,7.9205,22.5331804746377,"3.224e-11","1.928e-08",16.33
"NMRK2",2.7816,3.7482,22.4106847374242,"3.438e-11","1.928e-08",16.23
"HEY1",1.4547,5.062,22.2233839527995,"3.795e-11","1.996e-08",16.15
"ARL9",1.0846,5.3954,21.7898939825841,"4.786e-11","2.369e-08",15.93
"SETD6",1.4643,7.1602,21.664562968314,"5.122e-11","2.394e-08",15.87
"CDC25A",1.5932,6.77,21.2379159749797,"6.473e-11","2.502e-08",15.63
"NOC2L",1.034,8.6328,21.1636975737578,"6.744e-11","2.502e-08",15.59
"TP73",1.5153,4.2107,21.150610115417,"6.794e-11","2.502e-08",15.58
"DCLRE1B",2.0614,4.0991,21.1570065312571,"6.770e-11","2.502e-08",15.57
"SNX10",1.3777,4.1539,21.1303560543422,"6.871e-11","2.502e-08",15.57
"CENPF",-3.2071,4.597,-20.9688169648178,"7.519e-11","2.502e-08",15.48
"PPRC1",1.2059,6.5206,20.769515754751,"8.412e-11","2.502e-08",15.37
"TRPC7",-3.879,2.9979,-20.7667143747081,"8.425e-11","2.502e-08",15.34
"KCNG1",3.0488,2.7175,20.7711012596895,"8.404e-11","2.502e-08",15.32
"GINS2",1.8028,5.7443,20.6659549428234,"8.920e-11","2.502e-08",15.32
"RHOF",2.1374,3.1968,20.7600008371719,"8.457e-11","2.502e-08",15.31
"GBX2",3.7148,3.4207,20.7075481688424,"8.712e-11","2.502e-08",15.29
"AATF",1.2057,5.9852,20.5604700940193,"9.472e-11","2.571e-08",15.25
"SHISA2",1.7303,6.4012,20.464795440093,"1.001e-10","2.604e-08",15.2
"TOE1",1.1149,5.9039,20.4289677327885,"1.021e-10","2.604e-08",15.18
"WDR3",1.1794,7.2086,19.8666996114191,"1.417e-10","3.421e-08",14.85
"GPAT2",1.8987,3.2837,19.7652138974698,"1.504e-10","3.421e-08",14.79
"TPH2",1.9285,2.9622,19.7688919472267,"1.501e-10","3.421e-08",14.77
"SYT11",2.7659,4.3437,19.6500567104221,"1.611e-10","3.534e-08",14.73
"TNFRSF21",1.4408,6.8063,19.5614214446331,"1.698e-10","3.534e-08",14.67
"NKX6-1",4.0073,3.1111,19.8029324586903,"1.471e-10","3.421e-08",14.67
"TCFL5",1.7593,4.1417,19.5383963145257,"1.722e-10","3.534e-08",14.66
"RBM38",1.9069,5.8696,19.5262425865486,"1.735e-10","3.534e-08",14.65
"RFX2",2.3857,3.3037,19.4797839299638,"1.784e-10","3.534e-08",14.62
"NKX6-2",2.0998,4.9099,19.4389743800068,"1.828e-10","3.534e-08",14.6
"HSPA14",0.9396,7.2628,19.4207552620856,"1.848e-10","3.534e-08",14.58
"FAM60A",1.2143,7.5109,18.7272784260987,"2.827e-10","5.285e-08",14.16
"ADCY9",1.0747,6.0488,18.5317222731646,"3.195e-10","5.619e-08",14.04
"BTG2",-1.0118,7.1376,-18.6394657816726,"2.986e-10","5.462e-08",14.03
"CHTF8",1.4372,5.9962,18.4495205071045,"3.365e-10","5.619e-08",13.99
"SLC16A3",3.0916,4.7163,18.4418626680418,"3.382e-10","5.619e-08",13.99
"LMBR1L",1.0592,4.8059,18.4451073548522,"3.375e-10","5.619e-08",13.98
"TAF5L",0.9648,6.7583,18.4306583273682,"3.406e-10","5.619e-08",13.97
"RGS9BP",2.7245,4.9321,18.3057799843156,"3.687e-10","5.745e-08",13.9
"CACNA1S",3.5439,2.5885,18.3478190271047,"3.589e-10","5.698e-08",13.9
"GPR75",1.6274,4.2845,18.2405564225352,"3.843e-10","5.802e-08",13.86
"JMJD6",2.076,5.2446,18.2276527549854,"3.875e-10","5.802e-08",13.85
"MYOM1",-2.2643,3.2025,-18.2054137711583,"3.931e-10","5.802e-08",13.83
"KIF1A",1.5223,3.8725,18.1466922012314,"4.082e-10","5.921e-08",13.8
"PABPN1L",4.055,2.5906,18.3512002585576,"3.582e-10","5.698e-08",13.78
"SH3BP2",-2.2174,3.7094,-18.0653947821706,"4.301e-10","6.070e-08",13.75
"BORCS5",1.4101,5.0998,18.0262594836493,"4.411e-10","6.070e-08",13.72
"MMP23B",-1.8768,5.3099,-18.012288797036,"4.451e-10","6.070e-08",13.7
"LRRC8C",1.8799,4.9665,17.9867588972672,"4.525e-10","6.070e-08",13.69
"SLC35G1",1.7511,4.3733,17.9799356332043,"4.545e-10","6.070e-08",13.69
"KIF5C",1.0327,6.6481,17.9100305047693,"4.756e-10","6.185e-08",13.64
"PARPBP",-1.4502,3.6706,-17.8808705346169,"4.847e-10","6.185e-08",13.63
"ALB",-1.5623,4.5135,-17.8793676575354,"4.852e-10","6.185e-08",13.62
"CDON",1.2615,4.2,17.8476156275744,"4.953e-10","6.220e-08",13.6
"MRM1",1.632,4.5228,17.7907554274807,"5.141e-10","6.361e-08",13.56
"SOBP",1.3393,3.5642,17.7573926806362,"5.254e-10","6.387e-08",13.55
"OTUD7A",1.6185,3.0848,17.7011849623147,"5.451e-10","6.460e-08",13.51
"DDX27",0.8652,8.3686,17.7402417672857,"5.313e-10","6.387e-08",13.5
"PPP1R3B",-1.8977,5.3548,-17.6640241219631,"5.586e-10","6.479e-08",13.47
"GPATCH3",1.9597,4.6637,17.6370392818017,"5.687e-10","6.479e-08",13.46
"KIF18A",-1.5149,5.3135,-17.6303086515013,"5.712e-10","6.479e-08",13.45
"GINS1",1.7888,4.624,17.6135163926545,"5.776e-10","6.479e-08",13.44
"CDH20",-3.6164,4.2856,-17.4643263804341,"6.376e-10","6.967e-08",13.35
