"gene_name","logFC_meta","IVW_adjp"
"GINS2",2.0653,"3.035e-06"
"PRELID3A",1.6702,"3.089e-06"
"MTHFD2",1.7129,"4.447e-06"
"RASSF10",3.1469,"5.554e-06"
"SLC38A4",-3.325,"6.025e-06"
"SHISA2",1.5561,"6.396e-06"
"ITIH2",-2.0377,"7.009e-06"
"TNFSF10",-1.5303,"7.009e-06"
"PDK4",-2.6801,"7.152e-06"
"SEPT5",1.5691,"7.152e-06"
"FGFR3",-2.3075,"8.096e-06"
"RXRG",-2.471,"9.347e-06"
"HNF1A",-2.3053,"9.347e-06"
"FGA",-3.641,"9.904e-06"
"ACSL5",-3.089,"1.001e-05"
"FETUB",-3.2027,"1.081e-05"
"ALDOB",-2.4101,"1.091e-05"
"CCNE2",1.8386,"1.197e-05"
"KMO",-2.3408,"1.244e-05"
"MTTP",-2.3971,"1.249e-05"
"PLPP3",-2.7716,"1.249e-05"
"EGFR",-2.1135,"1.254e-05"
"CAT",-1.9706,"1.254e-05"
"IGFBP1",-3.3112,"1.366e-05"
"A1CF",-2.1972,"1.501e-05"
"NR1H4",-3.0788,"1.527e-05"
"TBX3",-1.974,"1.527e-05"
"DUSP4",1.7677,"1.527e-05"
"FBP1",-2.1537,"1.579e-05"
"MAD2L1BP",1.8419,"1.634e-05"
"TAF4B",1.6708,"1.670e-05"
"SIGIRR",-2.9574,"1.787e-05"
"DONSON",1.7012,"1.787e-05"
"CIDEA",-2.3209,"1.807e-05"
"TMEM123",-1.6235,"1.807e-05"
"EOMES",4.4909,"1.869e-05"
"PRKCB",3.298,"1.869e-05"
"SHH",-1.5189,"1.869e-05"
"F13B",-2.2197,"1.921e-05"
"PDLIM3",-2.7567,"1.955e-05"
"TRIB1",-2.0294,"1.955e-05"
"TSKU",-3.6774,"2.030e-05"
"PCK1",-2.8495,"2.039e-05"
"ATP1B1",-1.9022,"2.179e-05"
"INSIG1",-1.5663,"2.234e-05"
"CYP1B1",4.1183,"2.262e-05"
"CCNO",1.8761,"2.262e-05"
"HNF4A",-3.2117,"2.329e-05"
"SGK1",-2.2247,"2.329e-05"
"SLC6A6",-2.7717,"2.421e-05"
"DCLRE1B",1.722,"2.486e-05"
"BDH2",-1.587,"2.506e-05"
"ACOX1",-1.5411,"2.506e-05"
"GBX2",2.743,"2.508e-05"
"AMDHD1",-2.4221,"2.574e-05"
"SERPINF2",-1.9952,"2.606e-05"
"TFCP2L1",-1.9138,"2.685e-05"
"PLPP1",-1.8332,"2.686e-05"
"RBM38",1.5579,"2.686e-05"
"RFX2",2.1359,"2.708e-05"
"EHF",-3.6283,"2.882e-05"
"SERPIND1",-2.7842,"2.909e-05"
"TOB1",-1.5093,"2.954e-05"
"GFRA3",-2.2842,"3.025e-05"
"GLUL",-1.5974,"3.081e-05"
"BCHE",-2.5161,"3.106e-05"
"PPARA",-2.023,"3.106e-05"
"NCALD",-1.8731,"3.106e-05"
"RBM47",-3.3188,"3.108e-05"
"NKX6-1",3.0651,"3.172e-05"
"PRPS2",-2.5353,"3.203e-05"
"ALDH8A1",-3.5502,"3.226e-05"
"TIMP3",-1.8917,"3.267e-05"
"APCDD1",-2.2591,"3.283e-05"
"RPIA",-1.5956,"3.309e-05"
"KIAA1217",-2.7453,"3.374e-05"
"EMP2",-2.046,"3.467e-05"
"ATIC",-1.7362,"3.537e-05"
"HGFAC",-1.7866,"3.550e-05"
"IL20RA",-2.1819,"3.552e-05"
"CREB3L3",-2.2745,"3.577e-05"
"DPYS",-1.957,"3.612e-05"
"CLDN10",-2.0405,"3.653e-05"
"ATP10B",-2.7819,"3.691e-05"
"HOXB8",-2.1581,"3.695e-05"
"PROX1",-2.6817,"3.717e-05"
"E2F7",1.674,"3.729e-05"
"KNG1",-3.924,"3.811e-05"
"FAXC",1.577,"3.811e-05"
"LPAR1",-2.1802,"3.893e-05"
"FGB",-2.6737,"4.026e-05"
"PCDH1",-1.9989,"4.067e-05"
"PLEKHG1",-1.8506,"4.081e-05"
"DMRTA2",2.476,"4.153e-05"
"AHSG",-3.0363,"4.290e-05"
"RNF208",2.176,"4.357e-05"
"FJX1",1.8788,"4.505e-05"
"BTG1",-1.8023,"4.526e-05"
"PPP1R3B",-1.5987,"4.526e-05"
"MTSS1",-1.6443,"4.648e-05"
"HAO1",-1.6042,"4.731e-05"
"KCNK12",2.0099,"4.960e-05"
"FAM110C",-1.5595,"5.086e-05"
"FSTL4",-2.2629,"5.101e-05"
"CBLN1",2.2667,"5.158e-05"
"GLOD5",-2.1871,"5.265e-05"
"RHPN1",-1.5952,"5.285e-05"
"RGS7BP",2.7989,"5.323e-05"
"F2",-1.5969,"5.524e-05"
"TSPAN12",-1.5792,"5.525e-05"
"CFI",-1.5156,"5.536e-05"
"SH3BP2",-1.7962,"5.782e-05"
"SLC4A4",-1.6768,"5.782e-05"
"NKX3-2",2.5257,"5.784e-05"
"HMX3",2.1835,"5.908e-05"
"SLC35F1",3.1374,"5.987e-05"
"ENPEP",-2.1897,"6.012e-05"
"TBX2",-2.0347,"6.016e-05"
"RFTN1",1.5686,"6.016e-05"
"DAB2",-1.9617,"6.440e-05"
"TCFL5",1.5592,"6.501e-05"
"JPH1",-1.7696,"6.744e-05"
"CPB2",-2.6041,"6.770e-05"
"ESRP2",-2.3147,"6.770e-05"
"C11orf52",-2.2161,"6.770e-05"
"GREB1L",-2.74,"6.868e-05"
"CDC42EP1",-1.9974,"6.886e-05"
"GPR75",1.6392,"7.030e-05"
"PLXNA4",-3.1482,"7.108e-05"
"IGFBP2",1.5668,"7.147e-05"
"TNFSF15",-2.3378,"7.262e-05"
"TRHDE",-1.6112,"7.262e-05"
"TM4SF4",-1.7043,"7.310e-05"
"ADD3",-1.9722,"7.342e-05"
