"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0038023","signaling receptor activity","83/859","269/6395",0.30855,2.2971,8.56,"2.525e-14","5.302e-12","4.292e-12","GPR75/GPR12/FZD4/TLR3/NMUR1/NR4A2/FZD9/BDKRB2/IL17RD/F2RL1/DRD1/MC5R/GPR162/ESR1/GPR157/PPARA/FZD3/PLXNA2/NR5A2/COLEC12/CRLF1/PLA2R1/FGFR3/RRH/TNFRSF19/GPR146/GPR139/MERTK/PTCH2/THRB/EGFR/OGFRL1/VIPR1/LPAR1/PLXNA4/GUCY2C/GRIN2C/ADGRG2/IL2RB/FFAR4/PPARG/GPR85/FGFRL1/NR1H4/INSR/ADGRG1/NPR3/STYK1/CD247/SSTR3/IL7R/CXCR4/RXRG/PTGER2/NPY5R/HNF4A/MUSK/FLT4/NRP1/ESRRB/RET/ADGRD1/PLXNB2/GABRP/S1PR2/PIGR/HNF4beta/BDKRB1/GFRA1/GFRA3/GPR142/HTR1B/GRIN2A/ANTXR1/GPR183/LEPR/MTNR1A/NPY2R/HRH3/HTR4/ACKR2/MC3R/LPAR5",83
"GO:0060089","molecular transducer activity","83/859","269/6395",0.30855,2.2971,8.56,"2.525e-14","5.302e-12","4.292e-12","GPR75/GPR12/FZD4/TLR3/NMUR1/NR4A2/FZD9/BDKRB2/IL17RD/F2RL1/DRD1/MC5R/GPR162/ESR1/GPR157/PPARA/FZD3/PLXNA2/NR5A2/COLEC12/CRLF1/PLA2R1/FGFR3/RRH/TNFRSF19/GPR146/GPR139/MERTK/PTCH2/THRB/EGFR/OGFRL1/VIPR1/LPAR1/PLXNA4/GUCY2C/GRIN2C/ADGRG2/IL2RB/FFAR4/PPARG/GPR85/FGFRL1/NR1H4/INSR/ADGRG1/NPR3/STYK1/CD247/SSTR3/IL7R/CXCR4/RXRG/PTGER2/NPY5R/HNF4A/MUSK/FLT4/NRP1/ESRRB/RET/ADGRD1/PLXNB2/GABRP/S1PR2/PIGR/HNF4beta/BDKRB1/GFRA1/GFRA3/GPR142/HTR1B/GRIN2A/ANTXR1/GPR183/LEPR/MTNR1A/NPY2R/HRH3/HTR4/ACKR2/MC3R/LPAR5",83
"GO:0004888","transmembrane signaling receptor activity","63/859","202/6395",0.311881,2.3219,7.52,"2.394e-11","3.351e-09","2.713e-09","GPR75/GPR12/FZD4/TLR3/NMUR1/FZD9/BDKRB2/IL17RD/F2RL1/DRD1/MC5R/GPR162/GPR157/FZD3/PLXNA2/CRLF1/FGFR3/RRH/GPR146/GPR139/MERTK/PTCH2/EGFR/VIPR1/LPAR1/PLXNA4/GRIN2C/ADGRG2/IL2RB/FFAR4/GPR85/FGFRL1/INSR/ADGRG1/STYK1/CD247/SSTR3/IL7R/CXCR4/PTGER2/NPY5R/MUSK/FLT4/NRP1/RET/ADGRD1/PLXNB2/GABRP/S1PR2/PIGR/BDKRB1/GPR142/HTR1B/GRIN2A/GPR183/LEPR/MTNR1A/NPY2R/HRH3/HTR4/ACKR2/MC3R/LPAR5",63
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","95/859","387/6395",0.245478,1.8275,6.62,"8.196e-10","8.606e-08","6.967e-08","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/DBX2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/ESR1/REL/PPARA/NFIB/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/ZHX3/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/EMX2/TBX3/OSR2/MNX1/TSHZ2/FOXP1/SOX13/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/ETV3L/VSX1/SOX6/TBX6/PAX9/HOXD9/SMAD3/ESRRB/EHF/NKX2-8/SOX9/SATB1/CEBPD/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/TSHZ3/HEY2/BARHL2/EN1/ZBTB7C/EGR4",95
"GO:0003700","DNA-binding transcription factor activity","98/859","411/6395",0.238443,1.7751,6.4,"2.326e-09","1.954e-07","1.582e-07","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/DBX2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/ESR1/REL/PPARA/NFIB/FOXG1/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/ZHX3/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/EMX2/TBX3/OSR2/MNX1/TSHZ2/FOXP1/SOX13/FOXN3/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/ETV3L/VSX1/SOX6/TBX6/PAX9/HOXD9/SMAD3/ESRRB/EHF/NKX2-8/SOX9/SATB1/CEBPD/TRPS1/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/TSHZ3/HEY2/BARHL2/EN1/ZBTB7C/EGR4",98
"GO:0004930","G protein-coupled receptor activity","35/859","93/6395",0.376344,2.8018,6.89,"3.201e-09","2.241e-07","1.814e-07","GPR75/GPR12/NMUR1/BDKRB2/F2RL1/DRD1/MC5R/GPR162/GPR157/RRH/GPR146/GPR139/VIPR1/LPAR1/ADGRG2/FFAR4/GPR85/ADGRG1/SSTR3/CXCR4/PTGER2/NPY5R/ADGRD1/S1PR2/BDKRB1/GPR142/HTR1B/GPR183/MTNR1A/NPY2R/HRH3/HTR4/ACKR2/MC3R/LPAR5",35
"GO:0046873","metal ion transmembrane transporter activity","44/859","135/6395",0.325926,2.4264,6.6,"5.960e-09","3.576e-07","2.895e-07","TRPC7/KCNG1/CACNA1S/KCNK12/SLC24A3/SLC9A7/KCNQ4/KCNB2/NIPAL4/SLC40A1/SCNN1G/SLC30A10/KCNT1/KCNG2/CNGA3/SCN8A/SLC24A4/SLC1A2/CACNG5/SLC4A4/SLC6A9/TSKU/SLC4A10/KCNK13/ATP7B/CACNA1C/KCNH4/CACNA1H/SLC6A6/SLC39A10/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/KCNJ5/KCNK15/TRPV2/SLC9A2/KCNMB4/KCNK5/SLC5A9/SLC6A1",44
"GO:0000987","cis-regulatory region sequence-specific DNA binding","79/859","320/6395",0.246875,1.8379,6.06,"1.883e-08","9.888e-07","8.005e-07","TP73/NKX6-1/TCFL5/RFX2/NKX6-2/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/REL/PPARA/NFIB/NR5A2/MAFB/KLF15/TCF7L2/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/FOXP1/SOX13/FOXN3/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/MAFA/CREB3L3/ZNF516/EGR3/KLF6/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/ELL2/SOX6/TBX6/PAX9/HOXD9/SMAD3/NKX2-8/SOX9/SATB1/CEBPD/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/EN1/ZBTB7C/EGR4",79
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","85/859","355/6395",0.239437,1.7825,5.98,"2.427e-08","1.132e-06","9.168e-07","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/REL/PPARA/NFIB/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/OSR2/FOXP1/SOX13/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/SOX6/TBX6/PAX9/HOXD9/SMAD3/NKX2-8/SOX9/SATB1/CEBPD/TRPS1/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/BARHL2/EN1/ZBTB7C/EGR4",85
"GO:0000976","transcription cis-regulatory region binding","89/859","380/6395",0.234211,1.7436,5.89,"3.404e-08","1.296e-06","1.050e-06","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/REL/PPARA/NFIB/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/OSR2/FOXP1/SOX13/FOXN3/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/VSX1/ELL2/SOX6/TBX6/PAX9/HOXD9/SMAD3/ARID5A/NKX2-8/SOX9/SATB1/CEBPD/TRPS1/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/BARHL2/EN1/ZBTB7C/EGR4",89
"GO:0001067","transcription regulatory region nucleic acid binding","89/859","380/6395",0.234211,1.7436,5.89,"3.404e-08","1.296e-06","1.050e-06","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/REL/PPARA/NFIB/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/OSR2/FOXP1/SOX13/FOXN3/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/VSX1/ELL2/SOX6/TBX6/PAX9/HOXD9/SMAD3/ARID5A/NKX2-8/SOX9/SATB1/CEBPD/TRPS1/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/BARHL2/EN1/ZBTB7C/EGR4",89
"GO:1990837","sequence-specific double-stranded DNA binding","91/859","392/6395",0.232143,1.7282,5.86,"3.704e-08","1.296e-06","1.050e-06","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/REL/PPARA/NFIB/FOXG1/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/OSR2/MNX1/FOXP1/SOX13/FOXN3/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/VSX1/ELL2/SOX6/TBX6/PAX9/HOXD9/SMAD3/ARID5A/NKX2-8/SOX9/SATB1/CEBPD/TRPS1/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/BARHL2/EN1/ZBTB7C/EGR4",91
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","77/859","315/6395",0.244444,1.8198,5.88,"4.559e-08","1.473e-06","1.192e-06","TP73/NKX6-1/TCFL5/RFX2/NKX6-2/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/REL/PPARA/NFIB/NR5A2/MAFB/KLF15/TCF7L2/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/FOXP1/SOX13/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/MAFA/CREB3L3/ZNF516/EGR3/KLF6/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/SOX6/TBX6/PAX9/HOXD9/SMAD3/NKX2-8/SOX9/SATB1/CEBPD/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/EN1/ZBTB7C/EGR4",77
"GO:0005267","potassium channel activity","18/859","36/6395",0.5,3.7224,6.45,"1.434e-07","4.301e-06","3.482e-06","KCNG1/KCNK12/KCNQ4/KCNB2/KCNT1/KCNG2/CNGA3/TSKU/KCNK13/KCNH4/DHRS3/HCN2/KCNG3/KCNC2/KCNJ5/KCNK15/KCNMB4/KCNK5",18
"GO:0005261","monoatomic cation channel activity","32/859","94/6395",0.340426,2.5344,5.9,"2.359e-07","6.606e-06","5.347e-06","TRPC7/KCNG1/CACNA1S/KCNK12/SLC24A3/KCNQ4/KCNB2/SCNN1G/KCNT1/KCNG2/CNGA3/SCN8A/SLC24A4/CACNG5/TSKU/OTOP3/KCNK13/CACNA1C/OTOP2/KCNH4/CACNA1H/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/KCNJ5/KCNK15/TRPV2/KCNMB4/KCNK5",32
"GO:0015079","potassium ion transmembrane transporter activity","20/859","45/6395",0.444444,3.3088,6.12,"3.389e-07","8.897e-06","7.203e-06","KCNG1/KCNK12/SLC24A3/KCNQ4/KCNB2/KCNT1/KCNG2/CNGA3/SLC24A4/TSKU/KCNK13/KCNH4/DHRS3/HCN2/KCNG3/KCNC2/KCNJ5/KCNK15/KCNMB4/KCNK5",20
"GO:0022890","inorganic cation transmembrane transporter activity","48/859","175/6395",0.274286,2.042,5.51,"5.157e-07","1.274e-05","1.031e-05","TRPC7/KCNG1/CACNA1S/KCNK12/SLC24A3/SLC9A7/KCNQ4/KCNB2/NIPAL4/SLC40A1/SCNN1G/SLC30A10/KCNT1/KCNG2/CNGA3/SCN8A/SLC24A4/SLC1A2/CACNG5/SLC4A4/GRIN2C/SLC6A9/TSKU/OTOP3/SLC4A10/KCNK13/ATP7B/CACNA1C/OTOP2/KCNH4/CACNA1H/SLC6A6/SLC39A10/DHRS3/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/KCNJ5/KCNK15/GRIN2A/TRPV2/SLC9A2/KCNMB4/KCNK5/SLC5A9/SLC6A1",48
"GO:0003690","double-stranded DNA binding","91/859","417/6395",0.218225,1.6246,5.2,"7.559e-07","1.740e-05","1.409e-05","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/REL/PPARA/NFIB/FOXG1/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/OSR2/MNX1/FOXP1/SOX13/FOXN3/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/VSX1/ELL2/SOX6/TBX6/PAX9/HOXD9/SMAD3/ARID5A/NKX2-8/SOX9/SATB1/CEBPD/TRPS1/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/BARHL2/EN1/ZBTB7C/EGR4",91
"GO:0043565","sequence-specific DNA binding","96/859","447/6395",0.214765,1.5989,5.17,"7.918e-07","1.740e-05","1.409e-05","TP73/GBX2/NKX6-1/TCFL5/RFX2/NKX6-2/LHX4/NR4A2/GLI3/FOXO1/EOMES/IRF2/DLX6/ESR1/REL/PPARA/NFIB/FOXG1/NR5A2/MAFB/KLF15/TCF7L2/CASZ1/FOXL2/HOXB5/NKX3-2/PROX1/HOXA10/SATB2/DMRTA2/THRB/NFE2L2/RBPJ/SOX8/BACH1/MEIS1/TBX3/OSR2/MNX1/MAEL/FOXP1/SOX13/FOXN3/PPARG/HNF1A/IRX1/PAX3/NR1H4/TBX2/EBF2/MYCL/PRDM4/HOXB8/MAFA/CREB3L3/ZNF516/EGR3/KLF6/SIM1/HOXA4/HOXB6/SOX21/DLX1/TFCP2L1/MYC/RXRG/HOXD13/HNF4A/ETV3L/VSX1/ELL2/SOX6/TBX6/PAX9/HOXD9/SMAD3/ESRRB/EHF/ARID5A/NKX2-8/SOX9/SATB1/CEBPD/TRPS1/NKX2-2/NKX2-1/FOXF1/HNF4beta/MYCN/ZBTB20/CREB3L2/HEY2/BARHL2/EN1/ZBTB7C/EGR4",96
"GO:0005509","calcium ion binding","59/859","236/6395",0.25,1.8612,5.31,"8.288e-07","1.740e-05","1.409e-05","SYT11/CDH20/CLGN/RASGRP3/PCDH18/THBS1/MASP1/SMOC1/PLS1/JAG2/PCDH19/NKD1/CDHR2/DLK2/F10/TENM2/PCDH17/IHH/CALN1/CALR3/GUCA1A/PLCD4/FBLN1/DLL1/KCNIP1/SCUBE3/C1S/CAPN13/RGN/FSTL4/ANXA7/SYT2/PLA2G12B/SHH/SYT6/NCALD/MAN1A1/PCDH1/FAT1/RHBDL3/CDH17/SYT17/RET/CDH13/PCDH15/F7/DNER/TLL1/F2/LRP2/CAPSL/NCAN/DSG2/HABP2/DGKG/MATN3/PROZ/CABP7/F9",59
