"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005576","extracellular region","86/738","269/5892",0.319703,2.5524,9.86,"7.541e-18","1.840e-15","1.651e-15","ALB/TRIL/MYOC/AGT/IGFBP2/SERPINC1/THBS1/SFRP4/C5/MASP1/SMOC1/GDF11/PXDN/CTSO/TIMP4/FRZB/MBL2/F10/SEMA7A/WNT7B/FJX1/IHH/CHIA/CRIM1/CBLN1/CPB2/FBLN1/SCUBE3/APOB/C1S/PI15/IGFBP3/MELTF/FSTL4/SERPINA10/OLFM1/SFRP5/WNT4/BCHE/PLA2G12B/SHH/KNG1/C11orf52/NRG1/SERPINF2/MAN1A1/WNT16/TFPI2/TIMP3/OLFM3/SERPIND1/KRT80/BMP4/DHRS3/CYR61/FETUB/FGL2/SPP2/CXCL14/GC/FGA/F7/GHRL/AHSG/METRN/NPY/C6orf58/F2/FGB/IGFBP1/HABP2/ANGPTL3/FGG/EVA1C/IL15/SFRP2/PROZ/TINAG/PLAU/F9/SCT/FMOD/CPQ/APOA4/OSTN/C1QTNF4",86
"GO:0005615","extracellular space","73/738","227/5892",0.321586,2.5675,9.11,"2.047e-15","2.497e-13","2.241e-13","ALB/TRIL/MYOC/AGT/IGFBP2/SERPINC1/SFRP4/C5/MASP1/SMOC1/GDF11/PXDN/CTSO/TIMP4/FRZB/MBL2/F10/SEMA7A/WNT7B/FJX1/IHH/CPB2/SCUBE3/APOB/C1S/PI15/IGFBP3/MELTF/FSTL4/SERPINA10/OLFM1/SFRP5/WNT4/BCHE/SHH/KNG1/C11orf52/NRG1/SERPINF2/MAN1A1/WNT16/TFPI2/TIMP3/OLFM3/SERPIND1/KRT80/BMP4/DHRS3/FGL2/GC/FGA/F7/GHRL/AHSG/METRN/C6orf58/F2/FGB/IGFBP1/HABP2/ANGPTL3/FGG/IL15/SFRP2/PROZ/TINAG/PLAU/F9/SCT/FMOD/CPQ/OSTN/C1QTNF4",73
"GO:0034702","monoatomic ion channel complex","20/738","50/5892",0.4,3.1935,5.89,"8.349e-07","6.790e-05","6.093e-05","TRPC7/KCNG1/CACNA1S/KCNB2/KCNG2/CNGA3/SCN8A/CACNG5/GRIN2C/KCNIP1/TSKU/CACNA1C/CACNA1H/DHRS3/TRPC5/SCN5A/KCNG3/KCNC2/GRIN2A/KCNMB4",20
"GO:0034703","cation channel complex","17/738","43/5892",0.395349,3.1564,5.37,"6.772e-06","4.131e-04","3.707e-04","TRPC7/KCNG1/CACNA1S/KCNB2/KCNG2/CNGA3/SCN8A/KCNIP1/TSKU/CACNA1C/CACNA1H/DHRS3/TRPC5/SCN5A/KCNG3/KCNC2/KCNMB4",17
"GO:0008076","voltage-gated potassium channel complex","9/738","15/5892",0.6,4.7902,5.56,"1.794e-05","8.753e-04","7.854e-04","KCNG1/KCNB2/KCNG2/KCNIP1/TSKU/DHRS3/KCNG3/KCNC2/KCNMB4",9
"GO:0034705","potassium channel complex","9/738","16/5892",0.5625,4.4909,5.29,"3.646e-05","1.359e-03","1.220e-03","KCNG1/KCNB2/KCNG2/KCNIP1/TSKU/DHRS3/KCNG3/KCNC2/KCNMB4",9
"GO:1902495","transmembrane transporter complex","21/738","67/5892",0.313433,2.5024,4.68,"3.900e-05","1.359e-03","1.220e-03","TRPC7/KCNG1/CACNA1S/KCNB2/KCNG2/CNGA3/SCN8A/CACNG5/GRIN2C/KCNIP1/TSKU/CACNA1C/CACNA1H/DHRS3/TRPC5/SCN5A/KCNG3/KCNC2/ATP1B1/GRIN2A/KCNMB4",21
"GO:0098797","plasma membrane protein complex","34/738","138/5892",0.246377,1.967,4.35,"5.958e-05","1.683e-03","1.510e-03","KCNG1/CACNA1S/CDH20/KCNB2/KCNG2/ITGA9/SNTB2/SCN8A/APC2/CACNG5/GRIN2C/GNG4/KCNIP1/TSKU/INSR/GJB2/CACNA1C/CDH17/CACNA1H/NCF4/GNG10/DHRS3/SCN5A/KCNG3/CDH13/C8B/KCNC2/SNTB1/ATP1B1/GJC2/GNB3/GRIN2A/ITGA8/KCNMB4",34
"GO:0030312","external encapsulating structure","15/738","41/5892",0.365854,2.9209,4.67,"6.898e-05","1.683e-03","1.510e-03","LAMA1/TRIL/SMOC1/ADAMTS20/COL14A1/TIMP4/ADAMTS19/ADAMTS1/TIMP3/DHRS3/PAPLN/AHSG/SPON2/COL1A2/HPSE",15
"GO:0031012","extracellular matrix","15/738","41/5892",0.365854,2.9209,4.67,"6.898e-05","1.683e-03","1.510e-03","LAMA1/TRIL/SMOC1/ADAMTS20/COL14A1/TIMP4/ADAMTS19/ADAMTS1/TIMP3/DHRS3/PAPLN/AHSG/SPON2/COL1A2/HPSE",15
"GO:1990351","transporter complex","21/738","70/5892",0.3,2.3951,4.44,"8.018e-05","1.779e-03","1.596e-03","TRPC7/KCNG1/CACNA1S/KCNB2/KCNG2/CNGA3/SCN8A/CACNG5/GRIN2C/KCNIP1/TSKU/CACNA1C/CACNA1H/DHRS3/TRPC5/SCN5A/KCNG3/KCNC2/ATP1B1/GRIN2A/KCNMB4",21
