"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","DEG"
"PLK3",2.31641274570246,4.65070748470515,28.2981622664463,2.17350338380652e-12,1.09198989808343e-08,18.8503718058818,"Up"
"DONSON",1.65428339831604,4.51092112265919,26.5176739313672,4.70090933603443e-12,1.09198989808343e-08,18.151204873758,"Up"
"RGS7BP",2.92602569421523,3.45924082164771,26.2966893844001,5.19129972941967e-12,1.09198989808343e-08,17.8756389452191,"Up"
"CCNE2",2.15724035741405,6.30379359503195,24.8820354523606,9.99398198703835e-12,1.57214505662341e-08,17.4344199903563,"Up"
"RFTN1",1.89015845240577,4.77641137297852,24.3539499449356,1.28809177267736e-11,1.57214505662341e-08,17.2002296875846,"Up"
"CCNO",1.88391987380801,4.78862335089912,24.0258281380027,1.51213053417331e-11,1.57214505662341e-08,17.0366557121073,"Up"
"RNF208",2.23387135752338,4.83816664242581,23.8107703053657,1.68163840142746e-11,1.57214505662341e-08,16.9425552673895,"Up"
"MAD2L1BP",2.02196421535533,6.33304744381721,22.9414830396196,2.60868970172066e-11,1.82912626252314e-08,16.5256980232971,"Up"
"DUSP4",1.96091298729608,5.09700470066892,22.7551397272774,2.87210561990578e-11,1.85891512968363e-08,16.4262022377455,"Up"
"NMRK2",2.78164432816096,3.74817132068687,22.4106847374242,3.43792803797714e-11,1.92844843410264e-08,16.2320921687374,"Up"
"CDC25A",1.5932133451724,6.77004245938202,21.2379159749797,6.47250931449118e-11,2.50177967341198e-08,15.6338339475567,"Up"
"TP73",1.51531818046238,4.21069661783429,21.150610115417,6.79364314186707e-11,2.50177967341198e-08,15.5798021808119,"Up"
"DCLRE1B",2.06142740902107,4.09907202273499,21.1570065312571,6.76954023983931e-11,2.50177967341198e-08,15.5720190057574,"Up"
"CENPF",-3.2071300571887,4.59697075984849,-20.9688169648178,7.51898030635415e-11,2.50177967341198e-08,15.4789304712856,"Down"
"TRPC7",-3.87899759013113,2.99785927484955,-20.7667143747081,8.42490852769551e-11,2.50177967341198e-08,15.3422774676886,"Down"
"KCNG1",3.04876838555455,2.71745363247816,20.7711012596895,8.40403650923909e-11,2.50177967341198e-08,15.3188447695965,"Up"
"GINS2",1.80282041446747,5.74425537292254,20.6659549428234,8.92006063731394e-11,2.50177967341198e-08,15.3150650440865,"Up"
"RHOF",2.13736878774686,3.19676296109225,20.7600008371719,8.45695890476458e-11,2.50177967341198e-08,15.3143892696109,"Up"
"GBX2",3.71483257397782,3.4206966416262,20.7075481688424,8.71195192861111e-11,2.50177967341198e-08,15.2897379001576,"Up"
"SHISA2",1.73034164052386,6.40119603451973,20.464795440093,1.00052905507874e-10,2.60404037325846e-08,15.2007683064741,"Up"
"GPAT2",1.8987493027575,3.28374269388195,19.7652138974698,1.50427614859077e-10,3.42080527411967e-08,14.7937937371581,"Up"
