"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","P_106839","P_299945","FDR_106839","FDR_299945","sig_106839","sig_299945","direction_consistent","category"
"EOMES",2.33533104040328,6.64653207848479,4.49093155944404,0.171565146716576,0.448085845610009,2.62073398616435e-07,2.74680564759298e-08,1.86871658979549e-05,2.7957367234546e-07,TRUE,TRUE,TRUE,"Moderate"
"NMU",1.05761074849567,7.87383356381805,4.46572215615686,0.180714795453076,0.782809525992914,0.0002432825627478,1.18186222589395e-06,0.00134826164120975,5.5218032842492e-06,TRUE,TRUE,TRUE,"Moderate"
"TDO2",-1.62703178420229,-6.64525626527662,-4.13614402473946,0.173699923607779,0.343419426889622,6.16146316765432e-06,1.93605891186339e-09,0.000102658517015135,3.95388341854819e-08,TRUE,TRUE,TRUE,"Moderate"
"CYP1B1",2.54750369756477,5.68909708295345,4.11830039025911,0.195196813615425,0.378159245478117,3.76410813015035e-07,2.38863696910778e-08,2.26222898622036e-05,2.56679328966448e-07,TRUE,TRUE,TRUE,"Moderate"
"APOB",-1.99022466946227,-6.20601644733216,-4.09812055839722,0.232925794243569,0.227700453131637,1.30533490051787e-05,6.03673846097457e-11,0.000168711026927148,3.23523040832102e-09,TRUE,TRUE,TRUE,"Moderate"
"CLDN2",-1.15362537409917,-6.92095803347619,-4.03729170378768,0.192366149816767,0.768607229668276,0.000203450255937832,3.32250246902681e-06,0.00118057272652477,1.2782595232918e-05,TRUE,TRUE,TRUE,"Moderate"
"KNG1",-1.77078838663508,-6.07730755827515,-3.92404797245511,0.154625508609702,0.131738053262623,1.14787160357066e-06,2.77335093634708e-13,3.81073452586067e-05,1.76364503667677e-10,TRUE,TRUE,TRUE,"Moderate"
"CHST1",0.881606239783491,6.9539089342447,3.9177575870141,0.266063240271829,0.490618127942406,0.00903628861368974,4.30200150707963e-08,0.0227980007183165,3.89634452966286e-07,TRUE,TRUE,TRUE,"Moderate"
"TINAG",-0.950654094528911,-6.53520912643239,-3.74293161048065,0.0959160217675937,0.789162923977575,3.86089767344074e-06,7.15266605575252e-06,7.62572606204938e-05,2.45443425405828e-05,TRUE,TRUE,TRUE,"Moderate"
"HPGD",-1.24985078275244,-6.21683507711104,-3.73334292993174,0.207612338151105,0.850053558053019,0.000197776431263752,2.16894045553186e-05,0.00115561867545361,6.37684548513975e-05,TRUE,TRUE,TRUE,"Moderate"
"MATN3",0.813809462586038,6.59364501488211,3.70372723873407,0.194226536230919,0.783999039805092,0.00234245005430312,6.21491072085507e-06,0.00769296438599004,2.17341059041041e-05,TRUE,TRUE,TRUE,"Moderate"
"TSKU",-1.02859396626384,-6.32623854891512,-3.67741625758948,0.0769928338942644,0.171919085697733,3.07892872222154e-07,2.81513270436565e-12,2.02989304832938e-05,5.35607522459618e-10,TRUE,TRUE,TRUE,"Moderate"
"BAALC",0.863305783109352,6.4543636081704,3.65883469563988,0.137490484228468,0.758182605201861,0.000144706057772644,5.56418321023229e-06,0.000927309040440995,1.98041613920873e-05,TRUE,TRUE,TRUE,"Moderate"
"KCNK15",1.26633031798441,6.04649058028674,3.65641044913558,0.16893107993615,0.949091378917568,3.71297529129877e-05,7.09261388300824e-05,0.000343685083619229,0.000180730627533711,TRUE,TRUE,TRUE,"Moderate"
"FGA",-1.11354785273408,-6.16840519883567,-3.64097652578488,0.0682785182256212,0.24297181369529,5.46015591331312e-08,1.24270667088953e-10,9.90380464913159e-06,5.62157738110994e-09,TRUE,TRUE,TRUE,"Moderate"
"EHF",-1.22191994987034,-6.03466834853332,-3.62829414920183,0.0992427911602901,0.401396176677612,6.19871649710435e-07,2.40438868830519e-08,2.88154699484177e-05,2.58042428869897e-07,TRUE,TRUE,TRUE,"Moderate"
"ALDH8A1",-0.817000541627419,-6.28330886900961,-3.55015470531851,0.0688344584852454,0.331209945590585,8.4731887875185e-07,2.36249707709751e-09,3.22594617457831e-05,4.61207666048688e-08,TRUE,TRUE,TRUE,"Moderate"
"ESR1",-1.26974763876631,-5.5160367114145,-3.3928921750904,0.164811447782085,0.326897298631889,2.99128147381049e-05,7.63359534091686e-09,0.00029662657250958,1.13881331912189e-07,TRUE,TRUE,TRUE,"Moderate"
"C1QL3",1.37475148453636,5.32502214772986,3.34988681613311,0.223993954037319,0.609061208777924,0.000171482143390273,4.35890000178798e-06,0.00104563514179839,1.60788183318913e-05,TRUE,TRUE,TRUE,"Moderate"
"SLC38A4",-1.31002931639064,-5.34000084643996,-3.3250150814153,0.0716435042892284,0.159196823111644,2.00510180778384e-08,7.25979337028442e-12,6.02533093239045e-06,9.25513657842016e-10,TRUE,TRUE,TRUE,"Moderate"
"RBM47",-1.04461011140242,-5.59300163511416,-3.31880587325829,0.0872656601641119,0.281039362863168,7.88146930069556e-07,1.45965508429579e-09,3.1082839722874e-05,3.16534481424349e-08,TRUE,TRUE,TRUE,"Moderate"
"IGFBP1",-0.89252458696879,-5.72995200334828,-3.31123829515853,0.0600505163883307,0.164686410850969,1.22511744719236e-07,4.99419111437006e-12,1.36577497457318e-05,7.74541572799208e-10,TRUE,TRUE,TRUE,"Moderate"
"PRKCB",1.88144026927784,4.71465406051494,3.29804716489639,0.137777281506908,0.368873124708955,2.54924655872927e-07,1.18504539224609e-07,1.86871658979549e-05,8.69308799508161e-07,TRUE,TRUE,TRUE,"Moderate"
