"Low","Moderate","Stable","FDR","logFC","total","Total","stable_change_pct"
5475,816,2123,0.05,0.5,8414,8414,334.151329243354
5434,644,2336,0.1,0.5,8414,8414,377.709611451943
5419,553,2442,0.15,0.5,8414,8414,399.386503067485
5416,460,2538,0.2,0.5,8414,8414,419.018404907975
5871,631,1912,0.05,0.58,8414,8414,291.002044989775
5836,496,2082,0.1,0.58,8414,8414,325.766871165644
5828,426,2160,0.15,0.58,8414,8414,341.717791411043
5826,354,2234,0.2,0.58,8414,8414,356.850715746421
7197,224,993,0.05,1,8414,8414,103.067484662577
7188,170,1056,0.1,1,8414,8414,115.950920245399
7186,144,1084,0.15,1,8414,8414,121.676891615542
7186,120,1108,0.2,1,8414,8414,126.584867075665
7853,72,489,0.05,1.5,8414,8414,0
7853,54,507,0.1,1.5,8414,8414,3.68098159509202
7853,40,521,0.15,1.5,8414,8414,6.5439672801636
7853,35,526,0.2,1.5,8414,8414,7.56646216768916
8155,22,237,0.05,2,8414,8414,-51.5337423312883
8155,16,243,0.1,2,8414,8414,-50.3067484662577
8155,10,249,0.15,2,8414,8414,-49.079754601227
8155,9,250,0.2,2,8414,8414,-48.8752556237219
