"Gene","log2FC","P.Value","Adj.P.Val","AveExpr","Regulation"
"PLK3",2.3164,"2.17e-12","1.09e-08",4.65,"Up"
"DONSON",1.6543,"4.70e-12","1.09e-08",4.51,"Up"
"RGS7BP",2.926,"5.19e-12","1.09e-08",3.46,"Up"
"CCNE2",2.1572,"9.99e-12","1.57e-08",6.3,"Up"
"RFTN1",1.8902,"1.29e-11","1.57e-08",4.78,"Up"
"CCNO",1.8839,"1.51e-11","1.57e-08",4.79,"Up"
"RNF208",2.2339,"1.68e-11","1.57e-08",4.84,"Up"
"MAD2L1BP",2.022,"2.61e-11","1.83e-08",6.33,"Up"
"DUSP4",1.9609,"2.87e-11","1.86e-08",5.1,"Up"
"NMRK2",2.7816,"3.44e-11","1.93e-08",3.75,"Up"
"CDC25A",1.5932,"6.47e-11","2.50e-08",6.77,"Up"
"TP73",1.5153,"6.79e-11","2.50e-08",4.21,"Up"
"DCLRE1B",2.0614,"6.77e-11","2.50e-08",4.1,"Up"
"CENPF",-3.2071,"7.52e-11","2.50e-08",4.6,"Down"
"TRPC7",-3.879,"8.42e-11","2.50e-08",3,"Down"
"KCNG1",3.0488,"8.40e-11","2.50e-08",2.72,"Up"
"GINS2",1.8028,"8.92e-11","2.50e-08",5.74,"Up"
"RHOF",2.1374,"8.46e-11","2.50e-08",3.2,"Up"
"GBX2",3.7148,"8.71e-11","2.50e-08",3.42,"Up"
"SHISA2",1.7303,"1.00e-10","2.60e-08",6.4,"Up"
"GPAT2",1.8987,"1.50e-10","3.42e-08",3.28,"Up"
"TPH2",1.9285,"1.50e-10","3.42e-08",2.96,"Up"
"NKX6-1",4.0073,"1.47e-10","3.42e-08",3.11,"Up"
"SYT11",2.7659,"1.61e-10","3.53e-08",4.34,"Up"
"TCFL5",1.7593,"1.72e-10","3.53e-08",4.14,"Up"
"RBM38",1.9069,"1.73e-10","3.53e-08",5.87,"Up"
"RFX2",2.3857,"1.78e-10","3.53e-08",3.3,"Up"
"NKX6-2",2.0998,"1.83e-10","3.53e-08",4.91,"Up"
"SLC16A3",3.0916,"3.38e-10","5.62e-08",4.72,"Up"
"CACNA1S",3.5439,"3.59e-10","5.70e-08",2.59,"Up"
