"gene","module_membership","gene_significance"
"CDT1",0.96424148990717,0.998333165735896
"SRM",0.963200908142057,0.986423133598965
"DONSON",0.943844382441508,0.98429151193586
"SLC27A4",0.958163587064514,0.983598040782534
"GINS2",0.971341184795863,0.979603580349001
"TP73",0.923700229333339,0.978319921762966
"RNF208",0.925995247279805,0.976252197002726
"RGS7BP",0.940266910577105,0.975828329791641
"POLR3E",0.976850843060992,0.974725858429763
"SHISA2",0.896744126140294,0.974364842840073
"SLC9A7",0.911716260511887,0.973901254972718
"DNAJC18",0.954784436006081,0.972437743301015
"SMARCA1",0.926261998787229,0.971875802390309
"DPH2",0.951195820377835,0.971220188383124
"DNAJC9",0.924131891622899,0.969629412584076
"GTF3A",0.915053010072181,0.967609860092898
"PDXP",0.895789713369069,0.965923716615231
"SLC29A1",0.912095564960196,0.964289755916014
"NUBP2",0.967701081328236,0.96292333982723
"SLC35F3",0.904706784261203,0.962807051621967
"TCFL5",0.876587573855895,0.961572614794233
"POGLUT1",0.910548888935857,0.96102869957145
"P2RY4",0.883025127884647,0.960568743006756
"RGS17",0.93560758512447,0.959205550259309
"EBNA1BP2",0.92689715161852,0.959010179410824
"RBM22",0.968200867157399,0.95878074576362
"SUSD3",0.95927817274053,0.958553637295108
"FAM46A",0.901479409930066,0.957215808592429
"SNRPB2",0.920959312298207,0.956946612940213
"VDR",0.956312969828787,0.956855982984477
"THAP9",0.915458101852298,0.954748581243195
"WDR77",0.995374696049889,0.954056869683386
"DPH1",0.904486094155229,0.953787932030292
"F5",0.919521644373518,0.953610601737294
"TMEM38A",0.892066843831537,0.95319611536269
"NEGR1",0.873475209850963,0.952857317625203
"KCTD3",0.970701889118133,0.951616280106383
"PIP4K2B",0.868201164695294,0.951481619620796
"SNCB",0.898577804174227,0.949892786266246
"MCAM",0.86525719996534,0.948163645952078
"DDX54",0.872278464110315,0.944545558812709
"STAMBPL1",0.976923625631022,0.944414377891712
"NANS",0.941685913436082,0.943540607329163
"SNX27",0.931104628359085,0.943516664093212
"BNIP3L",0.957243546500831,0.94253172872586
"DNAJA3",0.913832891509923,0.942139618748624
"FZD9",0.874786370217778,0.941350507784238
"ARHGEF6",0.849915185573446,0.940512809567983
"SGCB",0.91416572857407,0.938339950436763
"TBCCD1",0.941885579734346,0.937115991518603
"CUL4A",0.905155908814474,0.936809058767484
"TNFRSF21",0.84457913189295,0.936274382726525
"HTR1B",0.894014576127172,0.936138830979282
"MTPAP",0.884708161216916,0.935607804902303
"MRPS35",0.895085454988182,0.935299621531253
"VAV3",0.85289011649136,0.935012956579648
"NOP16",0.900224241885883,0.934746069913191
"CDKN3",0.961611293555552,0.93371912186299
"DFNA5",0.913544338246088,0.932034071347743
"TMCC1",0.82405399712192,0.931454296162318
"EPN2",0.891777909471925,0.931347529661897
"RHOBTB1",0.890555337112435,0.930507899068753
"CREG1",0.945821675680424,0.930448441879458
"GOLGB1",0.974551278933702,0.930412691587876
"TMEM132C",0.866628499863929,0.930279573953723
"NPTX2",0.849705729737432,0.929705902008554
"ST8SIA6",0.946604696973515,0.929532855153844
"MAD2L1BP",0.824926528086573,0.927940036302356
"DNAJC8",0.964021522512708,0.927336865545293
"LSM12",0.96649047867442,0.926840251805184
"SLC36A4",0.938848814796705,0.926076745496238
"UBQLN4",0.971317511902586,0.925495025297211
"FBXO18",0.91735565834177,0.924512025380394
"COX11",0.814269997420058,0.923115723741678
"RAVER2",0.913894800294975,0.922726931500434
"GINS3",0.823796451335783,0.921640198427731
"CRKL",0.809757393461175,0.921338939829189
"FYCO1",0.891514300204435,0.920825473545638
"SURF2",0.966980646657404,0.919778209157317
"TIMM8A",0.954136246695664,0.91879995999582
"STX7",0.851571909633787,0.91848100229228
"CFL2",0.965746630038095,0.917479590506145
"TBC1D32",0.868289542632148,0.916276989508111
"ZFPM2",0.85924164647836,0.914243665050682
