"gene","module","module_color"
"OPHN1",7,"black"
"BPHL",1,"turquoise"
"CIR1",1,"turquoise"
"EIF2B5",1,"turquoise"
"TRAK2",1,"turquoise"
"XRN2",1,"turquoise"
"SRGAP3",3,"brown"
"UBE2T",1,"turquoise"
"AFMID",2,"blue"
"SUSD6",3,"brown"
"RGS10",1,"turquoise"
"SRSF5",3,"brown"
"TIAL1",1,"turquoise"
"FOXP2",4,"yellow"
"ARHGDIB",3,"brown"
"UPB1",1,"turquoise"
"ATP11C",3,"brown"
"FRA10AC1",3,"brown"
"RBP4",1,"turquoise"
"CACNB2",2,"blue"
"EEF1B2",1,"turquoise"
"APBB1IP",2,"blue"
"MMS19",1,"turquoise"
"LSS",2,"blue"
"SLC52A3",3,"brown"
"FHL1",3,"brown"
"ARHGAP42",9,"magenta"
"MAML2",8,"pink"
"WIPF3",3,"brown"
"GRTP1",8,"pink"
"TMCO3",7,"black"
"CGN",4,"yellow"
"ANGPTL2",6,"red"
"PKIA",2,"blue"
"SLIRP",5,"green"
"ME1",1,"turquoise"
"RIPPLY2",9,"magenta"
"SOD1",3,"brown"
"SNAP91",1,"turquoise"
"TIAM1",5,"green"
"ERN1",1,"turquoise"
"ACLY",2,"blue"
"MED20",1,"turquoise"
"VWC2L",5,"green"
"API5",2,"blue"
"PKDCC",8,"pink"
"CYSLTR1",7,"black"
"SPP2",4,"yellow"
"CNR2",1,"turquoise"
"PNRC2",2,"blue"
"PI4KA",3,"brown"
"HOXD13",2,"blue"
"CPXM1",1,"turquoise"
"INSR",3,"brown"
"CSNK1E",2,"blue"
"THOP1",2,"blue"
"FAM222B",1,"turquoise"
"STK40",1,"turquoise"
"SLC2A5",1,"turquoise"
"SUMF2",1,"turquoise"
"CDC73",1,"turquoise"
"SZRD1",4,"yellow"
"ABCB9",1,"turquoise"
"FBXO42",6,"red"
"UCK1",1,"turquoise"
"LIFR",1,"turquoise"
"EMC3",1,"turquoise"
"gga-mir-6632",1,"turquoise"
"NDUFA4",3,"brown"
"MBD4",2,"blue"
"PPRC1",1,"turquoise"
"GLOD5",1,"turquoise"
"HPS6",3,"brown"
"PNMT",1,"turquoise"
"TMEM203",1,"turquoise"
"CADPS2",1,"turquoise"
"CD99",1,"turquoise"
"BET1",1,"turquoise"
"TIMMDC1",1,"turquoise"
"LEPROTL1",9,"magenta"
"FDFT1",8,"pink"
"gga-mir-1780",1,"turquoise"
"CYP2U1",1,"turquoise"
"CSRNP1",1,"turquoise"
"NR2F1",1,"turquoise"
"SYNGR2",3,"brown"
"MTERF3",2,"blue"
"PEF1",2,"blue"
"RNF38",1,"turquoise"
"PDSS2",1,"turquoise"
"TRIM14",1,"turquoise"
"BEND3",1,"turquoise"
"HGFAC",1,"turquoise"
"HERC3",2,"blue"
"NSUN4",5,"green"
"B4GALT2",5,"green"
"GATB",7,"black"
"MBIP",4,"yellow"
"BRMS1L",1,"turquoise"
"TDRKH",2,"blue"
"CASC3",1,"turquoise"
"HINT3",2,"blue"
"PIK3AP1",2,"blue"
"GJB1",1,"turquoise"
"RAB29",1,"turquoise"
"CUEDC1",5,"green"
"RPL22",1,"turquoise"
"KLHDC4",1,"turquoise"
"SGCE",1,"turquoise"
"CLCN3",4,"yellow"
"DLGAP4",1,"turquoise"
"MTMR4",1,"turquoise"
"REXO1",1,"turquoise"
"ZNF512B",1,"turquoise"
"FAM103A1",1,"turquoise"
"PASK",4,"yellow"
"COPB1",2,"blue"
"POLR3H",4,"yellow"
"LRRC4C",1,"turquoise"
"HECW2",1,"turquoise"
"NDUFA6",4,"yellow"
