"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","wound healing","14/390","32/6200",0.4375,6.9551,8.75,"2.008e-09","1.354e-06","1.226e-06","KNG1/FGA/PROZ/SERPIND1/SERPINA10/FGB/CPB2/F7/ARHGAP24/FGG/F2RL1/SERPINF2/F2/PPL",14
"GO:0007596","blood coagulation","12/390","24/6200",0.5,7.9487,8.84,"4.410e-09","1.354e-06","1.226e-06","KNG1/FGA/PROZ/SERPIND1/SERPINA10/FGB/CPB2/F7/FGG/F2RL1/SERPINF2/F2",12
"GO:0007599","hemostasis","12/390","24/6200",0.5,7.9487,8.84,"4.410e-09","1.354e-06","1.226e-06","KNG1/FGA/PROZ/SERPIND1/SERPINA10/FGB/CPB2/F7/FGG/F2RL1/SERPINF2/F2",12
"GO:0009611","response to wounding","14/390","34/6200",0.411765,6.546,8.4,"5.276e-09","1.354e-06","1.226e-06","KNG1/FGA/PROZ/SERPIND1/SERPINA10/FGB/CPB2/F7/ARHGAP24/FGG/F2RL1/SERPINF2/F2/PPL",14
"GO:0050817","coagulation","12/390","26/6200",0.461538,7.3373,8.39,"1.403e-08","2.401e-06","2.173e-06","KNG1/FGA/PROZ/SERPIND1/SERPINA10/FGB/CPB2/F7/FGG/F2RL1/SERPINF2/F2",12
"GO:0050878","regulation of body fluid levels","12/390","26/6200",0.461538,7.3373,8.39,"1.403e-08","2.401e-06","2.173e-06","KNG1/FGA/PROZ/SERPIND1/SERPINA10/FGB/CPB2/F7/FGG/F2RL1/SERPINF2/F2",12
"GO:0009072","aromatic amino acid metabolic process","9/390","17/6200",0.529412,8.4163,7.93,"2.179e-07","3.198e-05","2.894e-05","TDO2/AMDHD1/KMO/PAH/HGD/TAT/HAAO/DCT/FAH",9
"GO:0010466","negative regulation of peptidase activity","8/390","16/6200",0.5,7.9487,7.21,"1.879e-06","2.413e-04","2.184e-04","KNG1/FETUB/AHSG/SERPIND1/SERPINA10/SERPINF2/TIMP3/TFPI2",8
"GO:0009074","aromatic amino acid family catabolic process","7/390","12/6200",0.583333,9.2735,7.43,"2.222e-06","2.536e-04","2.295e-04","TDO2/AMDHD1/KMO/PAH/HGD/TAT/FAH",7
"GO:0065008","regulation of biological quality","40/390","299/6200",0.133779,2.1267,5.17,"3.314e-06","3.133e-04","2.836e-04","CYP1B1/KNG1/KCNK15/FGA/ALDH8A1/CACNG5/PLXNA4/PROZ/KCNK13/AGT/SERPIND1/ATP10B/PALMD/SERPINA10/PLSCR5/FGB/CPB2/F7/HTR1B/HNF1A/LZTS3/FGG/VILL/F2RL1/KCNK12/BDKRB2/SERPINF2/BAIAP2L2/ADD3/PLXNB2/DRD1/GRIP1/SCN8A/NMB/BAG3/CPQ/SEMA5B/SLC4A4/CNOT6/F2",40
"GO:0052547","regulation of peptidase activity","8/390","17/6200",0.470588,7.4811,6.93,"3.356e-06","3.133e-04","2.836e-04","KNG1/FETUB/AHSG/SERPIND1/SERPINA10/SERPINF2/TIMP3/TFPI2",8
"GO:0030154","cell differentiation","46/390","373/6200",0.123324,1.9605,4.96,"5.686e-06","4.486e-04","4.060e-04","EOMES/EHF/HNF4A/PLXNA4/NKX2-1/NR1H4/NKX6-1/SPEF2/PCK1/SOX6/NKX2-8/NKX3-2/WNT16/DMRTA2/RXRG/WNT4/LAMA1/MYOC/IL7R/FSTL4/MAFA/LPAR1/LZTS3/LHX4/EGFR/NRP1/ETV3L/TBX2/MEIS1/PPARA/TBX3/PLXNB2/HEYL/FOXL2/ALAS1/DCX/MNX1/NKX6-2/SEMA5B/DCT/CHL1/GPR137B/MYO6/ACSL4/CEBPD/SHH",46
"GO:0045861","negative regulation of proteolysis","8/390","18/6200",0.444444,7.0655,6.68,"5.712e-06","4.486e-04","4.060e-04","KNG1/FETUB/AHSG/SERPIND1/SERPINA10/SERPINF2/TIMP3/TFPI2",8
"GO:0048869","cellular developmental process","46/390","374/6200",0.122995,1.9553,4.94,"6.115e-06","4.486e-04","4.060e-04","EOMES/EHF/HNF4A/PLXNA4/NKX2-1/NR1H4/NKX6-1/SPEF2/PCK1/SOX6/NKX2-8/NKX3-2/WNT16/DMRTA2/RXRG/WNT4/LAMA1/MYOC/IL7R/FSTL4/MAFA/LPAR1/LZTS3/LHX4/EGFR/NRP1/ETV3L/TBX2/MEIS1/PPARA/TBX3/PLXNB2/HEYL/FOXL2/ALAS1/DCX/MNX1/NKX6-2/SEMA5B/DCT/CHL1/GPR137B/MYO6/ACSL4/CEBPD/SHH",46
"GO:0010951","negative regulation of endopeptidase activity","7/390","14/6200",0.5,7.9487,6.74,"8.620e-06","5.902e-04","5.341e-04","KNG1/FETUB/AHSG/SERPIND1/SERPINA10/SERPINF2/TIMP3",7
"GO:0052548","regulation of endopeptidase activity","7/390","15/6200",0.466667,7.4188,6.45,"1.529e-05","9.816e-04","8.884e-04","KNG1/FETUB/AHSG/SERPIND1/SERPINA10/SERPINF2/TIMP3",7
"GO:0007186","G protein-coupled receptor signaling pathway","24/390","152/6200",0.157895,2.5101,4.88,"2.235e-05","1.281e-03","1.159e-03","ADGRG2/HRH3/RGS7BP/NPY/GPR146/HTR1B/MC5R/ACKR2/BDKRB1/LPAR1/F2RL1/BDKRB2/ADCY1/DRD1/RGS9BP/NMB/PENK/GPR157/RGS14/GPR12/GPR75/FFAR4/ADGRG1/GPR183",24
"GO:0051346","negative regulation of hydrolase activity","8/390","21/6200",0.380952,6.0562,6.01,"2.245e-05","1.281e-03","1.159e-03","KNG1/FETUB/AHSG/SERPIND1/SERPINA10/SERPINF2/TIMP3/TFPI2",8
"GO:0170039","proteinogenic amino acid metabolic process","12/390","53/6200",0.226415,3.5994,4.92,"8.174e-05","4.418e-03","3.999e-03","TDO2/OTC/AMDHD1/KMO/PAH/HGD/HAAO/DCT/GLUL/PSAT1/CDO1/FAH",12
"GO:0170033","L-amino acid metabolic process","12/390","55/6200",0.218182,3.4685,4.76,"1.199e-04","6.154e-03","5.570e-03","TDO2/OTC/AMDHD1/KMO/PAH/HGD/HAAO/DCT/GLUL/PSAT1/CDO1/FAH",12
"GO:0045165","cell fate commitment","8/390","29/6200",0.275862,4.3855,4.73,"3.031e-04","1.482e-02","1.342e-02","EOMES/SOX6/WNT16/WNT4/TBX2/TBX3/MNX1/SHH",8
"GO:0007423","sensory organ development","7/390","23/6200",0.304348,4.8384,4.78,"3.749e-04","1.750e-02","1.584e-02","LAMA1/MAFA/CRYAA/MEIS1/DCX/CRYBA2/MYO6",7
"GO:0170035","L-amino acid catabolic process","7/390","24/6200",0.291667,4.6368,4.62,"5.011e-04","2.237e-02","2.025e-02","TDO2/AMDHD1/KMO/PAH/HGD/CDO1/FAH",7
"GO:0001654","eye development","6/390","18/6200",0.333333,5.2991,4.73,"5.783e-04","2.284e-02","2.067e-02","LAMA1/MAFA/CRYAA/MEIS1/DCX/CRYBA2",6
