"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007275","multicellular organism development","108/815","452/6200",0.238938,1.8177,7.02,"6.839e-11","8.248e-08","7.127e-08","DUSP4/GBX2/CDH20/AATK/LAMA1/ROR1/DUSP6/FZD4/LHX4/IGDCC3/THBS1/NR4A2/CDK5R1/EOMES/DPF3/GREB1L/DLX6/PLXNA2/JAG2/NRAP/MAFB/NPTX1/CASZ1/HOXB5/FGFR3/SEMA5B/SEMA7A/TENM2/WNT7B/TIAM1/CSPG5/APELA/MERTK/PDLIM5/APC2/SOX8/MEIS1/EGFR/IHH/GPR137B/EMX2/TBX3/OSR2/DCX/EFNA2/RBFOX3/MNX1/DCT/LPAR1/PLXNA4/TACC3/HNF1A/IRX1/DLL1/B3GNT5/PHOSPHO1/INSR/MYO6/FSTL4/WNT4/BRINP1/SHH/MAFA/VANGL2/FRY/NRG1/CRYBA2/HOXA4/STYK1/CHRD/CRYAA/WNT16/HOXB6/LZTS3/DLX1/CDH17/CXCR4/MUSK/PCK1/ACSL4/FLT4/CRYBA4/KIAA0319/SOX6/DBN1/NRP1/HOXD9/KIRREL3/RET/PDLIM3/MARCKSL1/CDH13/PLXNB2/ISM1/SOX9/TUBB3/CMTM8/TACC1/METRN/GFRA1/GFRA3/NDRG4/HEY2/EN1/SCT/NRN1/CHL1/SPRY2",108
"GO:0048869","cellular developmental process","92/815","374/6200",0.245989,1.8713,6.76,"4.140e-10","2.115e-07","1.828e-07","NKX6-1/NKX6-2/LAMA1/MYOC/LHX4/IGDCC3/NR4A2/EOMES/DLX6/PPARA/PLXNA2/NRAP/MAFB/NPTX1/KBTBD8/CASZ1/FOXL2/NKX3-2/SEMA5B/SEMA7A/TENM2/WNT7B/TIAM1/APC2/DMRTA2/THRB/SOX8/MEIS1/EGFR/IHH/GPR137B/EMX2/TBX3/FRK/DCX/EFNA2/MNX1/DCT/LPAR1/PLXNA4/SOX13/PPARG/IRX1/NR1H4/TBX2/SPEF2/MYO6/FSTL4/ALAS1/WNT4/PRDM4/BRINP1/SHH/MAFA/FRY/NRG1/WNT16/CDK6/JAK3/PDE3A/LZTS3/SOX21/DLX1/KRT80/IL7R/CXCR4/RXRG/HNF4A/ETV3L/PCK1/ACSL4/KIAA0319/SOX6/DBN1/TBX6/NRP1/SMAD3/EHF/PLXNB2/NKX2-8/SOX9/TUBB3/LMOD1/CEBPD/NKX2-2/NKX2-1/METRN/HNF4beta/HEY2/EN1/NRN1/CHL1",92
"GO:0007186","G protein-coupled receptor signaling pathway","49/815","152/6200",0.322368,2.4524,7.05,"5.618e-10","2.115e-07","1.828e-07","RGS7BP/RGS9BP/GPR75/ADCY1/GPR12/RGS10/NMUR1/BDKRB2/F2RL1/DRD1/MC5R/GPR162/GPR157/PENK/RGS14/RRH/GPR146/GPR139/APELA/NMB/VIPR1/LPAR1/ADGRG2/FFAR4/GNG4/GPR85/ADGRG1/SSTR3/CXCR4/PTGER2/NPY5R/GNG10/RGS11/ADGRD1/S1PR2/NPY/BDKRB1/GPR142/GNB3/HTR1B/KCTD16/GPR183/MTNR1A/NPY2R/HRH3/HTR4/ACKR2/MC3R/LPAR5",49
"GO:0030154","cell differentiation","91/815","373/6200",0.243968,1.856,6.63,"8.270e-10","2.115e-07","1.828e-07","NKX6-1/NKX6-2/LAMA1/MYOC/LHX4/IGDCC3/NR4A2/EOMES/DLX6/PPARA/PLXNA2/NRAP/MAFB/NPTX1/KBTBD8/CASZ1/FOXL2/NKX3-2/SEMA5B/SEMA7A/TENM2/WNT7B/TIAM1/APC2/DMRTA2/THRB/SOX8/MEIS1/EGFR/IHH/GPR137B/EMX2/TBX3/FRK/DCX/EFNA2/MNX1/DCT/LPAR1/PLXNA4/SOX13/PPARG/IRX1/NR1H4/TBX2/SPEF2/MYO6/FSTL4/ALAS1/WNT4/PRDM4/BRINP1/SHH/MAFA/FRY/NRG1/WNT16/JAK3/PDE3A/LZTS3/SOX21/DLX1/KRT80/IL7R/CXCR4/RXRG/HNF4A/ETV3L/PCK1/ACSL4/KIAA0319/SOX6/DBN1/TBX6/NRP1/SMAD3/EHF/PLXNB2/NKX2-8/SOX9/TUBB3/LMOD1/CEBPD/NKX2-2/NKX2-1/METRN/HNF4beta/HEY2/EN1/NRN1/CHL1",91
"GO:0050878","regulation of body fluid levels","17/815","26/6200",0.653846,4.974,7.9,"8.769e-10","2.115e-07","1.828e-07","SERPINC1/F2RL1/F10/CPB2/SERPINA10/KNG1/SERPINF2/SERPIND1/FGA/F7/F2/FGB/FGG/PROZ/F13A1/F9/SCT",17
"GO:0007596","blood coagulation","16/815","24/6200",0.666667,5.0716,7.77,"1.824e-09","3.142e-07","2.715e-07","SERPINC1/F2RL1/F10/CPB2/SERPINA10/KNG1/SERPINF2/SERPIND1/FGA/F7/F2/FGB/FGG/PROZ/F13A1/F9",16
"GO:0007599","hemostasis","16/815","24/6200",0.666667,5.0716,7.77,"1.824e-09","3.142e-07","2.715e-07","SERPINC1/F2RL1/F10/CPB2/SERPINA10/KNG1/SERPINF2/SERPIND1/FGA/F7/F2/FGB/FGG/PROZ/F13A1/F9",16
"GO:0042060","wound healing","18/815","32/6200",0.5625,4.2791,7.23,"8.896e-09","1.341e-06","1.159e-06","SERPINC1/F2RL1/F10/CPB2/PPL/SERPINA10/KNG1/SERPINF2/SERPIND1/ARHGAP24/FGA/F7/F2/FGB/FGG/PROZ/F13A1/F9",18
"GO:0050817","coagulation","16/815","26/6200",0.615385,4.6815,7.32,"1.017e-08","1.363e-06","1.178e-06","SERPINC1/F2RL1/F10/CPB2/SERPINA10/KNG1/SERPINF2/SERPIND1/FGA/F7/F2/FGB/FGG/PROZ/F13A1/F9",16
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","21/815","43/6200",0.488372,3.7152,6.95,"1.479e-08","1.784e-06","1.541e-06","CDH20/PCDH18/JAG2/PCDH19/CDHR2/DLK2/TENM2/MDGA1/PCDH17/DLL1/NECTIN1/PCDH1/FAT1/CDH17/RET/CDH13/PCDH15/DNER/DSG2/CLDN2/CHL1",21
"GO:0009611","response to wounding","18/815","34/6200",0.529412,4.0274,6.89,"3.209e-08","3.518e-06","3.040e-06","SERPINC1/F2RL1/F10/CPB2/PPL/SERPINA10/KNG1/SERPINF2/SERPIND1/ARHGAP24/FGA/F7/F2/FGB/FGG/PROZ/F13A1/F9",18
"GO:0007155","cell adhesion","44/815","146/6200",0.30137,2.2926,6.15,"4.288e-08","4.310e-06","3.724e-06","CDH20/LAMA1/PCDH18/IGDCC3/THBS1/PLXNA2/ITGA9/JAG2/PCDH19/LMO7/CDHR2/DLK2/TENM2/MDGA1/NINJ1/JAM2/PCDH17/PLXNA4/CTNNAL1/DLL1/NECTIN1/FERMT1/CLDN1/PCDH1/FAT1/CDH17/CLDN3/CLDN10/KIRREL3/RET/CDH13/PLXNB2/PCDH15/DNER/HAPLN3/NCAN/DSG2/CLDN2/LPP/IL15/ITGA8/PLAU/SPON2/CHL1",44
"GO:0048731","system development","83/815","361/6200",0.229917,1.7491,5.7,"8.924e-08","8.279e-06","7.153e-06","GBX2/AATK/LAMA1/DUSP6/FZD4/LHX4/IGDCC3/THBS1/NR4A2/CDK5R1/DPF3/GREB1L/PLXNA2/NRAP/NPTX1/CASZ1/SEMA5B/SEMA7A/TENM2/WNT7B/TIAM1/CSPG5/APELA/MERTK/PDLIM5/APC2/SOX8/MEIS1/EMX2/TBX3/OSR2/DCX/EFNA2/RBFOX3/MNX1/DCT/LPAR1/PLXNA4/TACC3/HNF1A/IRX1/B3GNT5/PHOSPHO1/MYO6/WNT4/BRINP1/SHH/MAFA/FRY/NRG1/CRYBA2/HOXA4/CRYAA/WNT16/LZTS3/CXCR4/PCK1/ACSL4/CRYBA4/KIAA0319/SOX6/DBN1/NRP1/HOXD9/KIRREL3/PDLIM3/MARCKSL1/CDH13/PLXNB2/ISM1/SOX9/TUBB3/CMTM8/TACC1/METRN/GFRA1/GFRA3/NDRG4/HEY2/EN1/SCT/NRN1/CHL1",83
"GO:0048513","animal organ development","43/815","147/6200",0.292517,2.2253,5.85,"1.579e-07","1.360e-05","1.175e-05","AATK/LAMA1/DUSP6/FZD4/CDK5R1/GREB1L/NRAP/KBTBD8/SEMA5B/SEMA7A/APELA/PDLIM5/SOX8/MEIS1/EMX2/TBX3/DCX/MNX1/DCT/TACC3/HNF1A/B3GNT5/PHOSPHO1/MYO6/MAFA/NRG1/CRYBA2/HOXA4/CRYAA/KRT80/CXCR4/PCK1/CRYBA4/SOX6/HOXD9/PDLIM3/PCDH15/SOX9/TACC1/FOXF1/NDRG4/SCT/SPRY2",43
"GO:0030001","metal ion transport","45/815","160/6200",0.28125,2.1396,5.68,"2.867e-07","2.305e-05","1.992e-05","TRPC7/KCNG1/CACNA1S/SLC35G1/KCNK12/SLC24A3/SLC9A7/KCNQ4/KCNB2/NIPAL4/SLC40A1/SCNN1G/SLC30A10/KCNT1/KCNG2/CNGA3/SCN8A/SLC24A4/CACNG5/SLC6A9/KCNIP1/KCNK13/RRAD/MELTF/SLC5A12/CACNA1C/KCNH4/CACNA1H/SLC6A6/SLC39A10/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/KCNJ5/ATP1B1/KCNK15/TRPV2/FLVCR2/SLC9A2/KCNMB4/KCNK5/FXYD2/SLC6A1",45
"GO:0007399","nervous system development","64/815","270/6200",0.237037,1.8032,5.25,"9.523e-07","7.178e-05","6.203e-05","GBX2/AATK/LAMA1/LHX4/IGDCC3/NR4A2/CDK5R1/DPF3/PLXNA2/NPTX1/CASZ1/SEMA5B/SEMA7A/TENM2/WNT7B/TIAM1/CSPG5/MERTK/APC2/SOX8/MEIS1/EMX2/TBX3/DCX/EFNA2/RBFOX3/MNX1/DCT/LPAR1/PLXNA4/TACC3/IRX1/B3GNT5/MYO6/WNT4/BRINP1/SHH/MAFA/FRY/NRG1/WNT16/LZTS3/CXCR4/ACSL4/KIAA0319/SOX6/DBN1/NRP1/KIRREL3/MARCKSL1/PLXNB2/SOX9/TUBB3/CMTM8/TACC1/METRN/GFRA1/GFRA3/NDRG4/HEY2/EN1/SCT/NRN1/CHL1",64
"GO:0009072","aromatic amino acid metabolic process","11/815","17/6200",0.647059,4.9224,6.3,"1.106e-06","7.846e-05","6.780e-05","TPH2/AMDHD1/DCT/TAT/HAAO/TDO2/HGD/PAH/KMO/FAH/IYD",11
"GO:0055085","transmembrane transport","81/815","375/6200",0.216,1.6432,5,"2.006e-06","1.312e-04","1.134e-04","TRPC7/KCNG1/SLC16A3/CACNA1S/SLC35G1/SLC23A1/AQP9/KCNK12/SLC24A3/SLCO2A1/SLC16A2/SLC9A7/KCNQ4/SLC25A38/KCNB2/AQP11/SLC40A1/SCNN1G/SLC30A10/KCNG2/SLC35F1/SLC25A29/CNGA3/TRPA1/SCN8A/SLC24A4/SLC1A2/CACNG5/SLC2A2/SLC4A4/ABCA1/ABCG1/SLC2A9/SLC6A9/KCNIP1/SLC2A10/OTOP3/SLC4A10/SLC22A16/KCNK13/RRAD/SLC2A5/SLC38A4/SFXN5/SLC5A12/CACNA1C/CNIH3/OTOP2/KCNH4/CACNA1H/SLC6A6/SLC7A5/SLC39A10/TRPC5/SCN5A/HCN2/KCNG3/KCNC2/GABRP/KCNJ5/ATP1B1/SLC37A4/PEX5L/SLCO2B1/KCNK15/SVOPL/SLC7A11/TRPV2/SLC38A11/FLVCR2/SLC22A3/SLC9A2/SLC16A5/SLC16A12/KCNK5/SLC26A1/SLC46A2/FXYD2/SLC5A9/SLC6A1/ANO1",81
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","15/815","31/6200",0.483871,3.681,5.82,"2.067e-06","1.312e-04","1.134e-04","CDH20/PCDH18/PCDH19/CDHR2/MDGA1/PCDH17/NECTIN1/PCDH1/FAT1/CDH17/RET/CDH13/PCDH15/DSG2/CHL1",15
