"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","gga04080","Neuroactive ligand-receptor interaction","34/423","105/3498",0.323809523809524,2.67774400540358,6.47327198894152,2.16221274183726e-08,3.00547571115379e-06,2.54913502195551e-06,"AGT/NMUR1/C5/BDKRB2/F2RL1/DRD1/MC5R/PENK/APELA/THRB/NMB/OGFRL1/VIPR1/LPAR1/GRIN2C/KNG1/SSTR3/PTGER2/NPY5R/GABRP/S1PR2/GHRL/NMU/NPY/F2/BDKRB1/HTR1B/GRIN2A/LEPR/MTNR1A/NPY2R/HRH3/HTR4/MC3R",34
"Environmental Information Processing","Signaling molecules and interaction","gga04081","Hormone signaling","22/423","82/3498",0.268292682926829,2.21864729285591,4.14115478021843,0.000183731674284017,0.0126273745817408,0.0107100791605829,"PRKG2/ADCY1/AGT/SLC16A2/DRD1/DIO2/MC5R/SLC40A1/ESR1/PENK/THRB/VIPR1/GUCY2C/GNG4/INSR/NPR3/SSTR3/GNG10/GHRL/GNB3/LEPR/MC3R",22
"Environmental Information Processing","Signal transduction","gga04310","Wnt signaling pathway","25/423","101/3498",0.247524752475248,2.04690681834141,3.95928150820955,0.000272533264354118,0.0126273745817408,0.0107100791605829,"ROR1/FZD4/SFRP4/FZD9/FZD3/PRKCB/CCND3/NKD1/DAAM1/FRZB/TCF7L2/WNT7B/TBL1XR1/APC2/PRICKLE2/SFRP5/WNT4/PRICKLE1/VANGL2/WNT16/MYC/SMAD3/APCDD1/SFRP2/RAC2",25
"Cellular Processes","Cell motility","gga04820","Cytoskeleton in muscle cells","26/423","109/3498",0.238532110091743,1.97254213026222,3.8254394150198,0.000388067933855225,0.0134853607014691,0.0114377917346803,"MYOM1/COL9A2/LAMA1/THBS1/COL9A3/SDC3/ITGA9/COL5A2/NRAP/DAAM1/SNTB2/ANK3/PDLIM5/SYNE2/COL6A2/FBLN1/MYH15/PDLIM3/FHL3/LMOD1/SNTB1/ATP1B1/DSG2/ITGA8/COL1A2/COL9A1",26
"Metabolism","Lipid metabolism","gga00561","Glycerolipid metabolism","12/423","37/3498",0.324324324324324,2.68200115008626,3.81436097622438,0.000903204792678162,0.0251090932364529,0.021296618269464,"GPAT2/LPL/LIPG/MGLL/PLPP1/PLPP3/DGAT2/AGPAT3/LIPC/MOGAT2/DGKI/DGKG",12
"Metabolism","Global and overview maps","gga01230","Biosynthesis of amino acids","12/423","38/3498",0.31578947368421,2.61142217245241,3.70389378191043,0.00117865836318335,0.0273055854137477,0.023159602925708,"GLUL/ACO1/RPIA/ALDOB/PAH/PRPS2/PSPH/GPT2/IDH1/PSAT1/OTC/MAT1A",12
"Environmental Information Processing","Signaling molecules and interaction","gga04082","Neuroactive ligand signaling","18/423","73/3498",0.246575342465753,2.03905566890119,3.32709650474141,0.00203414472331385,0.0378262214756389,0.0320828232129614,"ADCY1/DRD1/PENK/PRKCB/SLC1A2/OGFRL1/GRIN2C/GNG4/SLC6A9/GNG10/GABRP/GNB3/HTR1B/GRIN2A/HRH3/HTR4/SLC6A1/MC3R",18
NA,NA,"gga04519","Cadherin signaling","33/423","167/3498",0.197604790419162,1.63409351509746,3.11400761799301,0.00240601471060738,0.0378262214756389,0.0320828232129614,"CDH20/FZD4/PCDH18/VAV3/FZD9/FZD3/PCDH19/DAAM1/TCF7L2/WNT7B/APC2/PCDH17/EGFR/MYO1B/PRICKLE2/WNT4/MYO7A/PRICKLE1/VANGL2/PCDH1/WNT16/FAT1/KRT80/CDH17/FLT4/SCN5A/CDH13/GABRP/PCDH15/KRT18/DSG2/USH1G/RAC2",33
"Organismal Systems","Endocrine system","gga03320","PPAR signaling pathway","12/423","41/3498",0.292682926829268,2.42034250129735,3.39258518411623,0.00244917980777518,0.0378262214756389,0.0320828232129614,"PPARA/HMGCS2/ACSL1/LPL/PPARG/CPT1A/ACOX1/RXRG/PCK1/ACSL4/ACSL5/FABP2",12
"Metabolism","Amino acid metabolism","gga00380","Tryptophan metabolism","8/423","22/3498",0.363636363636364,3.00709219858156,3.50214577316207,0.00292836930882254,0.0403780531287747,0.0342471938691614,"TPH2/CYP1B1/HAAO/CAT/MAOA/TDO2/ALDH8A1/KMO",8
"Metabolism","Nucleotide metabolism","gga00230","Purine metabolism","17/423","70/3498",0.242857142857143,2.00830800405268,3.16021964044026,0.00319538549939944,0.0403780531287747,0.0342471938691614,"ADCY1/PDE8A/PDE1A/APRT/GUCY2C/XDH/PDE7B/NUDT5/NT5M/PDE3A/PDE4B/PAPSS2/ATIC/NT5C1A/PRPS2/ENTPD2/AK7",17
