"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","FDR_106839","FDR_299945","regulation"
"EOMES",2.33533104040328,6.64653207848479,4.49093155944404,0.171565146716576,0.448085845610009,1.86871658979549e-05,2.7957367234546e-07,"UP"
"NMU",1.05761074849567,7.87383356381805,4.46572215615686,0.180714795453076,0.782809525992914,0.00134826164120975,5.5218032842492e-06,"UP"
"TDO2",-1.62703178420229,-6.64525626527662,-4.13614402473946,0.173699923607779,0.343419426889622,0.000102658517015135,3.95388341854819e-08,"DOWN"
"CYP1B1",2.54750369756477,5.68909708295345,4.11830039025911,0.195196813615425,0.378159245478117,2.26222898622036e-05,2.56679328966448e-07,"UP"
"APOB",-1.99022466946227,-6.20601644733216,-4.09812055839722,0.232925794243569,0.227700453131637,0.000168711026927148,3.23523040832102e-09,"DOWN"
"CLDN2",-1.15362537409917,-6.92095803347619,-4.03729170378768,0.192366149816767,0.768607229668276,0.00118057272652477,1.2782595232918e-05,"DOWN"
"KNG1",-1.77078838663508,-6.07730755827515,-3.92404797245511,0.154625508609702,0.131738053262623,3.81073452586067e-05,1.76364503667677e-10,"DOWN"
"CHST1",0.881606239783491,6.9539089342447,3.9177575870141,0.266063240271829,0.490618127942406,0.0227980007183165,3.89634452966286e-07,"UP"
"TINAG",-0.950654094528911,-6.53520912643239,-3.74293161048065,0.0959160217675937,0.789162923977575,7.62572606204938e-05,2.45443425405828e-05,"DOWN"
"HPGD",-1.24985078275244,-6.21683507711104,-3.73334292993174,0.207612338151105,0.850053558053019,0.00115561867545361,6.37684548513975e-05,"DOWN"
"MATN3",0.813809462586038,6.59364501488211,3.70372723873407,0.194226536230919,0.783999039805092,0.00769296438599004,2.17341059041041e-05,"UP"
"TSKU",-1.02859396626384,-6.32623854891512,-3.67741625758948,0.0769928338942644,0.171919085697733,2.02989304832938e-05,5.35607522459618e-10,"DOWN"
"BAALC",0.863305783109352,6.4543636081704,3.65883469563988,0.137490484228468,0.758182605201861,0.000927309040440995,1.98041613920873e-05,"UP"
"KCNK15",1.26633031798441,6.04649058028674,3.65641044913558,0.16893107993615,0.949091378917568,0.000343685083619229,0.000180730627533711,"UP"
"FGA",-1.11354785273408,-6.16840519883567,-3.64097652578488,0.0682785182256212,0.24297181369529,9.90380464913159e-06,5.62157738110994e-09,"DOWN"
"EHF",-1.22191994987034,-6.03466834853332,-3.62829414920183,0.0992427911602901,0.401396176677612,2.88154699484177e-05,2.58042428869897e-07,"DOWN"
"ALDH8A1",-0.817000541627419,-6.28330886900961,-3.55015470531851,0.0688344584852454,0.331209945590585,3.22594617457831e-05,4.61207666048688e-08,"DOWN"
"ESR1",-1.26974763876631,-5.5160367114145,-3.3928921750904,0.164811447782085,0.326897298631889,0.00029662657250958,1.13881331912189e-07,"DOWN"
"C1QL3",1.37475148453636,5.32502214772986,3.34988681613311,0.223993954037319,0.609061208777924,0.00104563514179839,1.60788183318913e-05,"UP"
"SLC38A4",-1.31002931639064,-5.34000084643996,-3.3250150814153,0.0716435042892284,0.159196823111644,6.02533093239045e-06,9.25513657842016e-10,"DOWN"
"RBM47",-1.04461011140242,-5.59300163511416,-3.31880587325829,0.0872656601641119,0.281039362863168,3.1082839722874e-05,3.16534481424349e-08,"DOWN"
"IGFBP1",-0.89252458696879,-5.72995200334828,-3.31123829515853,0.0600505163883307,0.164686410850969,1.36577497457318e-05,7.74541572799208e-10,"DOWN"
"PRKCB",1.88144026927784,4.71465406051494,3.29804716489639,0.137777281506908,0.368873124708955,1.86871658979549e-05,8.69308799508161e-07,"UP"
"SUSD3",1.56493181374348,5.00824748457042,3.28658964915695,0.1529264850392,0.903927818410596,6.58511820887943e-05,0.000499751209256506,"UP"
"VSX1",1.63286624282279,4.83902189093414,3.23594406687846,0.20922202579728,0.66181591577093,0.000278048558729716,6.38748369281026e-05,"UP"
"HNF4A",-1.13277878308882,-5.29058170858729,-3.21168024583806,0.0873279692814016,0.13808455356415,2.32916072016354e-05,4.08054707692963e-10,"DOWN"
"FETUB",-1.18123777921839,-5.22418212669333,-3.20270995295586,0.0741248770095625,0.178824282862772,1.08116307815066e-05,2.11576117215449e-09,"DOWN"
"CACNG5",0.899817612187178,5.47442032440876,3.18711896829797,0.191323006676731,0.437700197038887,0.00434732930059658,1.01507309707226e-06,"UP"
"PLXNA4",-0.960183743479777,-5.33623369047941,-3.14820871697959,0.0953629219873882,0.585791121848289,7.10828684629749e-05,1.17141579329288e-05,"DOWN"
"RASSF10",1.82912260980565,4.46468088679995,3.1469017483028,0.0983708239644398,0.420444024875464,5.55383613584208e-06,3.59442591269168e-06,"UP"
"SLC35F1",1.84464019757433,4.4300897733468,3.13736498546057,0.176345866488933,0.43130111743234,5.98701794164954e-05,4.68025414524764e-06,"UP"
"NKX2-1",1.26841253683428,4.971514241623,3.11996338922864,0.151016802149546,0.775208773806094,0.00018747160447483,0.000172107589458374,"UP"
"ACSL5",-1.00588080284656,-5.17221792836483,-3.0890493656057,0.0621968378453286,0.103360527781973,1.0007205068453e-05,1.76364503667677e-10,"DOWN"
"NR1H4",-1.11941718346715,-5.03810967456288,-3.07876342901501,0.0769657556246993,0.15541162152945,1.52651745325432e-05,1.17000928609959e-09,"DOWN"
"PROZ",-1.3058632241363,-4.84426855768128,-3.07506589090879,0.120469948639448,0.759862201367435,5.0200260836535e-05,0.000179802409328904,"DOWN"
"GIMD1",-1.40820568368642,-4.7221401246408,-3.06517290416361,0.150759686615461,0.373939882448074,0.000104226273396705,9.46273033418237e-07,"DOWN"
"NKX6-1",1.93766521324377,4.19261787312924,3.0651415431865,0.162581707026137,0.259400161200903,3.17215888287579e-05,1.5437146993919e-07,"UP"
"TPPP",-1.29706807941828,-4.8023663411705,-3.04971721029439,0.189886898256305,0.332392547822965,0.000573396045491208,3.38326955640496e-07,"DOWN"
"SPEF2",-1.50977287105939,-4.57691414541569,-3.04334350823754,0.195612680270892,0.525469697499306,0.000294318812015843,1.65496653907408e-05,"DOWN"
"AHSG",-1.24860786699737,-4.82397611626585,-3.03629199163161,0.111589812008737,0.541927022292995,4.29003152316747e-05,1.39907737869102e-05,"DOWN"
"HACD4",-0.727518191276622,-5.3168589244504,-3.02218855786351,0.140064381511583,0.819281659559519,0.00255720275888664,0.000157274620228226,"DOWN"
"BARHL2",1.02876540620412,5.01428434630231,3.02152487625322,0.196812472571978,0.987359189811216,0.00246957846804583,0.000911770368112982,"UP"
"DLK2",0.795045968460341,5.24307064601505,3.01905830723769,0.124812372535591,0.346651869793005,0.000858809984007906,2.4690825328347e-07,"UP"
"PABPN1L",1.75274901715595,4.25773326037812,3.00524113876704,0.177327370470802,0.270207563926637,7.73449551351689e-05,1.85380133938683e-07,"UP"
"CCDC85A",1.29080393588225,4.71463002481716,3.00271698034971,0.160075576188917,0.316030895606376,0.000231873493021575,2.71651407065292e-07,"UP"
"ATP7B",-0.791054054498382,-5.17573204912965,-2.98339305181402,0.0831638366202264,0.368548876940989,9.47529877704976e-05,4.16947168545077e-07,"DOWN"
"MYLK2",0.493628875120469,5.44330500671362,2.96846694091704,0.159688343157958,0.835499214216126,0.0303128416364964,0.0001528806173146,"UP"
"SIGIRR",-1.07651757561945,-4.83836338624175,-2.9574404809306,0.077035267433118,0.158777410426171,1.78697535834593e-05,1.67909404250492e-09,"DOWN"
"PLA1A",-0.514135416835828,-5.3998671065504,-2.95700126169311,0.0827222901571063,0.503334636127841,0.000978642172540544,3.30606864281059e-06,"DOWN"
"ANKRD34B",0.774844365962845,5.11255454412592,2.94369945504438,0.178373470593945,0.738680651020558,0.00647009644656799,9.69916922862696e-05,"UP"
"RASL11B",0.83047506866238,5.02207127025422,2.9262731694583,0.148397917682009,0.423624391302974,0.00170197352550145,1.50599090804026e-06,"UP"
"BMP4",1.27436528383044,4.57565485575834,2.92501006979439,0.176862739950006,0.605242515835343,0.000427065109455143,4.97606260870324e-05,"UP"
"SLC2A2",-1.19321942861816,-4.65343347237026,-2.92332645049421,0.129800846521586,0.261807359756443,0.000113077775626622,7.73770419576934e-08,"DOWN"
"KCNK13",1.14796298491934,4.57894568158501,2.86345433325218,0.143125036399486,0.472086466346412,0.00023909498109213,7.24057959266327e-06,"UP"
