"sample_name","dataset","group","tissue","timepoint","GSM","original_sample_id"
"GSE106839_1","GSE106839","FAdV4","LMH cells","12h","GSM2855358","12 h infected-1"
"GSE106839_2","GSE106839","FAdV4","LMH cells","12h","GSM2855359","12 h infected-2"
"GSE106839_3","GSE106839","FAdV4","LMH cells","12h","GSM2855360","12 h infected-3"
"GSE106839_4","GSE106839","Control","LMH cells","12h","GSM2855349","12 h mock-1"
"GSE106839_5","GSE106839","Control","LMH cells","12h","GSM2855350","12 h mock-2"
"GSE106839_6","GSE106839","Control","LMH cells","12h","GSM2855351","12 h mock-3"
"GSE299945_1","GSE299945","Control","LMH cells","12h","GSM9050777","control group_1"
"GSE299945_2","GSE299945","Control","LMH cells","12h","GSM9050778","control group_2"
"GSE299945_3","GSE299945","Control","LMH cells","12h","GSM9050779","control group_3"
"GSE299945_4","GSE299945","FAdV4","LMH cells","12h","GSM9050771","CH_SX_201805_4_1"
"GSE299945_5","GSE299945","FAdV4","LMH cells","12h","GSM9050772","CH_SX_201805_4_2"
"GSE299945_6","GSE299945","FAdV4","LMH cells","12h","GSM9050773","CH_SX_201805_4_3"
